segdesc   = BMDC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,51.192,77.856,69.178,61.133,75.285,54.677,60.780,47.445,73.932,72.810,80.834,47.331,75.350,59.336,76.310,59.152,66.080,62.867,72.003,54.454,52.760,59.722,66.037,71.437,59.046,64.128,57.324,63.663,43.948,61.051
6/2026,50.450,66.420,54.639,35.686,151.109,26.466,70.771,32.897,71.572,37.373,44.918,26.251,53.883,29.075,42.026,29.796,41.420,58.682,41.614,49.082,66.009,24.196,43.960,55.972,139.574,57.190,55.588,26.236,87.425,36.457
7/2026,27.402,35.702,26.173,19.781,81.968,17.775,31.261,19.138,37.418,21.805,23.629,17.896,22.884,19.504,22.676,22.781,24.371,26.924,23.375,23.303,29.336,17.880,26.975,25.862,56.892,27.265,28.509,17.862,37.121,21.424
8/2026,25.886,39.061,24.007,21.291,39.664,18.172,30.455,20.805,33.921,27.493,31.832,18.956,26.161,21.034,26.895,27.795,27.815,25.754,22.254,27.543,23.826,20.968,28.639,27.105,34.467,27.999,27.263,18.747,28.232,21.173
9/2026,19.346,30.729,22.603,20.426,29.755,17.152,26.158,16.721,24.622,22.114,20.506,18.917,42.954,21.448,20.906,23.136,28.212,19.346,18.306,18.348,18.482,18.439,44.154,31.735,27.773,21.094,19.221,16.163,19.497,24.018
10/2026,18.268,23.062,23.581,26.362,33.986,24.809,30.558,25.722,22.706,20.762,20.685,26.544,26.399,21.878,32.898,41.790,29.446,20.616,22.002,20.543,21.438,18.143,41.095,39.080,24.696,20.011,22.734,18.676,19.841,24.714
11/2026,17.829,19.149,19.563,20.909,25.685,22.095,23.415,22.363,18.699,17.786,21.286,17.643,19.298,19.846,26.295,30.547,24.990,17.876,20.397,21.455,18.127,15.089,26.431,24.408,22.758,16.785,19.283,17.562,17.676,27.304
12/2026,16.345,17.245,15.990,16.683,24.120,17.750,18.567,20.621,16.415,15.646,16.855,15.250,17.447,16.070,18.910,20.817,17.868,15.654,16.281,18.000,15.712,13.555,20.063,19.550,19.930,15.621,18.377,14.060,16.465,21.283
1/2027,14.770,16.290,14.755,15.279,20.494,14.991,16.819,17.852,17.091,14.697,14.718,14.664,15.840,15.847,16.375,17.761,14.885,14.498,14.597,16.730,15.359,12.642,17.627,17.281,18.554,14.549,15.854,13.025,15.249,16.964
2/2027,14.095,15.163,12.615,18.125,20.915,12.394,14.995,17.788,18.095,14.586,12.575,17.055,13.740,14.419,13.468,17.016,12.168,13.145,12.201,14.114,13.043,11.150,17.565,21.823,17.391,19.671,17.978,11.268,13.753,16.452
