segdesc   = CLSC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,59.983,94.667,85.703,74.949,90.948,66.322,72.099,56.194,91.675,88.531,101.278,56.885,87.319,71.430,88.924,71.365,82.999,75.051,86.001,62.717,67.712,71.211,76.578,84.904,75.166,74.671,69.797,77.146,52.933,72.430
6/2026,56.118,80.323,61.369,39.803,171.089,28.827,78.307,36.517,83.917,41.256,49.848,29.077,58.050,31.456,45.356,32.548,48.096,67.402,45.506,54.152,79.616,26.596,47.319,64.136,164.153,64.572,64.719,28.648,101.670,40.047
7/2026,30.625,39.795,29.170,22.322,91.868,20.201,34.485,21.589,43.066,24.385,26.612,20.430,25.486,21.979,25.260,25.749,27.388,30.035,26.202,26.121,33.223,20.379,29.735,29.166,62.390,30.570,31.932,20.262,41.200,24.445
8/2026,29.528,45.847,27.731,24.576,45.007,21.308,35.024,24.226,40.767,31.531,36.547,22.382,29.994,24.358,30.696,32.704,32.893,29.502,25.684,32.227,27.663,24.719,33.199,32.172,38.921,31.962,31.304,21.951,32.347,24.926
9/2026,22.841,36.266,26.925,24.895,34.965,20.829,33.348,19.958,30.316,26.046,24.543,22.905,54.331,28.247,24.240,27.907,36.843,23.017,21.621,21.797,22.128,21.727,52.988,39.069,31.932,25.105,22.803,19.353,22.971,27.897
10/2026,21.404,27.043,28.300,35.300,40.985,35.885,43.308,33.877,27.160,26.508,24.723,36.273,32.046,29.692,41.469,63.727,42.357,24.607,26.503,25.357,27.226,21.184,52.767,51.654,29.686,23.782,26.953,22.856,23.152,30.117
11/2026,22.359,23.371,24.054,28.124,31.210,29.783,32.220,30.626,22.996,23.806,25.447,23.755,23.932,27.771,33.811,42.814,34.345,22.620,25.986,27.258,23.407,18.514,34.065,30.850,28.550,20.588,23.887,22.474,21.538,34.911
12/2026,20.557,21.225,19.887,21.393,29.852,23.307,23.892,27.371,20.456,20.342,20.591,20.081,22.089,21.202,23.653,28.704,23.553,20.060,20.418,22.931,20.229,16.947,25.310,25.126,25.071,19.638,22.735,17.867,20.499,26.846
1/2027,18.406,20.100,18.392,19.507,25.043,19.849,21.572,23.540,21.525,18.923,18.113,19.062,19.818,21.297,20.330,24.134,19.404,18.323,18.106,21.104,20.040,15.836,21.962,21.934,22.957,18.797,19.975,16.540,18.906,21.141
2/2027,17.685,18.873,15.815,23.151,26.093,16.095,19.106,24.025,23.039,18.843,15.494,22.491,17.133,19.039,16.692,24.903,15.759,17.010,15.122,17.538,16.861,14.100,23.312,28.420,22.057,26.143,23.235,14.562,17.457,20.833
3/2027,35.348,37.195,36.347,52.809,38.993,43.709,37.803,39.480,30.339,30.990,21.695,38.070,54.260,26.298,27.640,68.930,18.328,39.051,19.756,34.139,37.887,22.819,34.762,52.636,42.513,67.985,25.798,24.161,32.116,30.411
4/2027,83.014,89.253,71.324,65.320,100.898,92.221,67.452,59.781,88.966,71.654,58.141,71.658,127.875,73.061,96.443,115.270,67.635,64.407,56.886,87.112,88.517,47.068,78.304,82.284,77.583,126.187,49.885,101.913,51.246,58.278
5/2027,225.979,309.997,210.031,270.330,365.960,351.025,206.397,236.003,257.265,289.821,96.864,185.779,259.312,291.637,252.640,276.143,310.229,304.442,126.332,184.945,149.852,118.101,269.231,176.696,192.868,273.143,162.713,248.682,182.978,149.830
6/2027,183.733,452.236,226.508,631.615,326.945,541.457,231.706,366.751,163.594,218.623,59.675,240.857,155.528,320.043,201.813,205.520,548.343,277.269,300.017,481.906,54.435,165.956,381.212,391.327,338.491,437.638,74.175,466.570,203.022,300.236
7/2027,67.829,197.820,63.634,489.303,109.888,183.329,109.236,248.210,49.861,60.955,24.220,60.742,55.591,120.620,72.235,69.753,229.940,138.796,73.783,253.690,25.133,57.982,110.613,127.778,101.892,138.216,29.555,302.618,58.871,129.081
8/2027,57.957,73.035,41.435,134.659,53.327,86.919,51.208,98.190,45.076,55.215,21.199,45.889,39.661,61.272,53.511,52.429,83.169,54.811,52.305,75.223,27.483,42.852,63.073,55.318,56.572,67.082,25.563,90.705,38.885,57.283
9/2027,41.212,52.696,34.516,68.248,39.821,62.614,32.559,52.293,33.701,32.829,21.132,66.001,40.148,39.295,39.319,48.570,48.197,36.362,29.522,43.320,22.061,59.600,58.255,39.572,37.874,41.337,20.489,47.252,36.173,35.702
10/2027,31.828,51.025,47.164,68.901,57.336,71.999,50.054,42.413,34.261,33.088,35.870,40.480,40.420,60.172,82.206,55.910,46.956,41.463,33.678,46.786,22.460,60.096,74.122,37.129,34.962,44.965,25.213,43.139,38.744,31.783
11/2027,27.793,41.850,36.509,50.784,45.890,52.554,42.146,34.470,30.826,32.645,22.943,30.526,37.102,46.357,54.097,44.105,41.421,38.468,34.918,38.788,19.595,38.566,44.670,34.703,30.616,39.214,24.410,38.413,42.267,31.643
12/2027,25.089,35.598,28.411,46.747,36.983,39.746,37.204,30.661,26.274,26.726,19.219,27.925,28.842,33.342,36.682,30.716,36.783,30.591,28.968,33.737,17.914,28.577,36.137,30.523,28.574,36.265,19.468,35.780,32.696,28.554
1/2028,23.543,32.450,25.664,39.358,31.816,35.198,31.847,30.731,24.192,23.507,18.233,24.959,28.151,28.679,30.686,25.362,33.268,26.962,26.340,32.207,16.688,24.804,31.348,27.774,26.813,31.824,17.922,32.533,26.128,25.636
2/2028,22.492,28.336,29.629,39.792,26.644,31.172,32.229,31.867,24.008,20.610,22.382,22.182,25.518,24.259,31.537,21.246,30.815,23.054,22.546,27.695,15.285,27.107,38.092,27.150,34.583,34.333,16.206,29.704,25.878,24.607
3/2028,42.435,50.551,59.048,51.613,58.531,52.737,49.505,38.776,36.250,26.794,37.610,60.330,32.455,35.096,80.963,23.698,54.936,27.705,39.247,51.609,24.263,37.515,67.382,47.569,80.817,36.221,26.146,45.020,35.065,44.189
4/2028,97.416,95.765,77.418,124.829,113.607,88.850,75.567,107.972,84.097,66.963,71.738,140.300,85.153,118.637,138.376,75.867,89.512,70.296,95.306,115.813,49.035,85.311,101.584,83.354,141.978,66.424,111.301,66.470,63.613,101.101
5/2028,343.113,266.995,304.077,431.317,418.224,260.526,283.488,296.957,318.447,111.016,200.192,278.960,328.836,290.560,296.751,329.797,380.321,161.712,215.196,179.547,124.378,297.488,211.011,206.983,316.059,196.666,248.950,223.180,173.994,258.586
6/2028,460.594,242.781,672.189,350.177,574.158,248.788,400.198,178.735,220.105,60.817,230.442,164.517,328.629,209.637,210.063,571.369,302.089,318.114,514.263,65.031,167.906,381.748,415.581,350.806,455.730,80.348,489.504,222.831,315.650,190.807
7/2028,191.985,68.807,481.469,117.383,183.177,113.444,248.134,54.566,62.320,26.273,59.727,58.913,118.938,76.292,71.126,234.618,142.100,76.321,246.710,31.321,57.899,109.490,128.005,104.583,138.590,34.660,289.838,65.276,128.101,70.583
8/2028,73.266,46.090,131.810,57.996,88.443,55.075,97.874,48.617,56.687,23.580,45.144,41.340,62.572,55.610,53.591,84.586,58.493,55.136,74.876,32.569,42.161,63.214,57.516,57.812,67.944,29.275,88.705,43.604,58.069,60.646
9/2028,52.895,38.972,70.512,43.824,65.184,36.200,53.571,36.396,33.721,23.614,65.548,41.668,41.225,41.987,50.496,49.193,40.181,31.592,43.842,26.437,60.790,60.615,41.721,38.823,43.002,24.221,46.750,40.381,36.714,42.200
10/2028,51.778,51.979,67.305,61.564,74.130,54.809,43.887,36.937,34.356,37.496,39.446,41.825,61.162,84.593,56.901,47.987,45.335,36.126,47.708,26.697,58.532,72.692,39.465,35.942,46.337,29.235,43.051,43.051,32.784,33.201
11/2028,42.071,39.733,51.309,49.551,54.000,45.181,35.836,33.031,33.319,24.226,29.991,38.257,46.781,54.719,44.016,42.230,41.824,36.621,39.187,23.238,37.810,44.283,36.378,31.370,40.595,27.570,38.174,46.113,32.561,29.115
12/2028,36.014,31.622,47.207,40.196,41.437,39.964,32.028,28.319,27.488,20.508,27.438,29.853,34.099,37.667,31.335,37.565,33.626,30.737,34.226,21.338,28.193,36.297,32.157,29.303,37.222,22.460,35.565,36.065,29.234,26.278
1/2029,32.849,28.650,39.900,34.634,36.909,34.537,32.213,26.045,24.273,19.722,24.548,29.063,29.525,31.797,26.100,33.980,29.808,27.834,32.698,19.811,24.476,31.676,29.270,27.474,32.933,20.632,32.370,29.059,26.412,24.651
2/2029,27.740,31.409,39.069,28.068,31.587,33.466,31.889,24.680,20.558,22.612,21.130,25.366,24.193,31.657,21.173,30.095,24.678,23.133,27.160,17.375,26.085,37.231,27.588,33.820,34.288,17.936,28.609,27.412,24.400,22.681
3/2029,50.992,62.400,52.138,59.903,54.537,52.361,40.076,37.422,27.566,38.749,59.628,33.046,35.988,82.249,24.383,55.313,30.391,40.813,52.123,26.287,37.264,67.452,49.093,79.027,37.337,28.648,44.985,37.359,44.908,43.459
