segdesc   = DRGC2L_F
2026-04-30
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,43.943,80.245,70.720,60.422,36.490,63.384,62.650,52.947,49.878,68.085,69.026,52.887,61.962,61.474,59.738,63.344,70.016,64.443,74.193,45.272,63.655,64.379,60.804,62.691,70.889,55.598,66.386,63.309,43.126,63.323
6/2026,59.384,55.950,49.863,39.564,90.620,27.496,67.202,37.489,64.143,32.308,30.763,32.981,38.401,27.210,35.068,33.458,47.844,49.865,37.767,42.436,74.981,26.403,34.679,51.890,146.298,62.718,45.337,28.201,87.717,39.174
7/2026,24.284,25.383,18.047,14.336,47.708,15.233,20.700,16.553,34.688,11.647,15.229,12.218,13.340,12.659,14.497,25.013,21.380,17.751,16.697,15.950,23.966,11.820,16.980,17.020,41.510,19.751,17.075,12.535,24.008,16.809
8/2026,16.512,21.670,13.968,9.061,23.552,11.405,32.037,12.657,52.687,11.381,19.010,8.987,12.287,9.168,13.983,24.325,26.179,11.844,10.003,19.627,14.018,9.926,22.481,16.432,21.172,20.382,14.017,8.290,11.589,11.492
9/2026,31.213,17.212,17.109,21.363,18.217,15.970,43.221,13.393,33.560,11.805,11.850,21.469,27.624,29.825,11.771,26.079,27.455,22.431,9.541,12.568,12.548,9.100,41.066,28.270,14.545,16.891,10.692,8.410,9.174,10.052
10/2026,15.349,12.152,13.971,20.974,17.346,31.811,41.543,15.561,16.781,14.943,10.633,24.263,15.651,34.511,28.946,73.409,29.053,15.765,12.062,17.466,22.540,8.583,30.965,37.559,18.847,13.689,11.905,11.553,8.921,11.237
11/2026,11.765,10.628,11.260,16.235,12.829,17.123,22.240,14.680,11.502,12.087,9.861,14.290,11.183,21.017,19.411,28.586,17.778,12.993,12.672,15.708,17.200,8.131,19.026,18.907,15.239,10.610,9.761,10.325,8.661,11.929
12/2026,10.501,9.949,10.290,11.831,11.502,12.970,14.436,12.463,10.372,10.314,9.075,11.473,10.734,14.320,12.945,16.877,13.920,11.271,10.150,12.035,12.611,8.717,14.259,14.334,12.630,10.227,9.458,9.030,9.313,10.560
1/2027,9.718,9.585,9.915,10.468,10.798,10.977,11.864,10.625,10.304,9.723,9.099,10.450,9.896,13.253,11.261,12.847,11.578,10.226,9.312,10.568,11.628,8.967,12.252,12.338,11.098,10.291,9.244,8.746,9.180,9.525
2/2027,8.843,8.657,8.547,10.992,11.670,9.287,9.798,9.983,9.839,8.465,8.100,9.601,8.968,11.769,9.194,12.069,9.295,9.520,7.936,9.010,9.218,8.714,12.145,13.880,12.032,11.984,9.110,7.747,8.293,8.901
3/2027,13.516,13.746,15.599,27.316,14.525,33.187,16.014,15.080,13.269,15.320,10.686,13.933,28.820,22.857,11.807,42.182,11.920,16.350,9.424,14.276,17.620,11.713,16.767,26.822,18.137,34.736,10.835,11.281,12.885,10.486
4/2027,56.131,40.959,46.105,32.854,32.409,61.172,34.316,34.156,44.202,53.643,32.657,35.064,83.081,69.053,40.518,65.621,31.020,33.401,23.588,31.759,68.629,17.219,45.857,40.757,38.218,71.835,24.502,44.063,21.822,18.220
5/2027,150.722,200.090,139.265,95.046,130.837,189.406,131.261,133.914,116.378,219.137,46.011,110.932,142.815,223.522,114.132,147.603,173.613,192.427,75.540,115.538,106.111,73.270,110.542,87.121,102.516,141.319,66.036,130.214,105.128,72.612
6/2027,106.613,224.526,142.139,249.065,93.169,251.543,121.618,207.629,69.992,124.475,27.038,89.208,92.569,208.319,78.664,117.127,207.820,112.654,137.326,213.453,45.998,59.619,149.271,179.937,165.989,163.422,28.120,256.302,83.091,146.928
7/2027,61.285,85.393,37.225,207.643,37.390,91.654,71.418,144.232,22.408,52.070,11.695,27.374,35.435,82.539,46.075,46.862,80.395,46.215,40.592,87.066,19.066,25.070,47.767,59.623,49.004,52.792,12.292,116.284,29.606,88.537
8/2027,36.341,38.061,18.206,71.252,17.574,70.656,28.849,89.169,15.069,35.787,8.556,19.338,18.058,40.087,32.655,39.595,31.433,20.131,34.080,28.574,12.992,26.107,30.779,24.843,33.543,30.644,7.869,34.624,15.826,34.153
9/2027,23.901,31.478,29.104,36.832,20.097,62.311,23.305,45.150,14.449,18.523,20.996,34.011,40.670,23.388,31.285,35.791,36.618,14.341,17.949,20.119,10.693,44.457,38.012,16.440,23.233,18.003,8.215,17.885,11.591,43.284
10/2027,15.306,21.425,25.656,27.213,36.534,50.932,22.799,21.115,17.258,14.767,22.870,17.859,41.209,40.510,79.362,33.511,22.136,16.032,20.833,28.476,9.513,31.312,43.552,19.517,16.705,16.796,10.785,12.548,12.331,18.704
11/2027,12.835,16.060,19.217,18.219,19.288,27.126,19.632,14.559,13.680,12.891,13.442,12.532,24.977,25.400,30.239,20.148,17.222,15.858,17.778,20.499,9.034,19.037,21.380,15.609,12.735,13.202,9.735,11.875,12.864,14.067
12/2027,11.775,14.403,14.030,15.570,14.528,18.238,16.135,13.054,11.603,11.613,10.760,11.880,17.146,17.466,17.887,15.711,14.802,12.550,13.446,14.850,9.647,14.183,16.340,12.921,12.055,12.422,8.516,12.430,11.307,12.196
1/2028,11.188,13.593,12.363,14.331,12.258,15.254,13.536,12.825,10.861,11.405,9.813,10.876,15.817,15.321,13.652,13.094,13.369,11.388,11.733,13.516,9.861,12.152,14.004,11.354,11.921,11.967,8.268,12.071,10.185,11.192
2/2028,10.349,11.998,13.671,16.102,10.693,13.062,13.100,12.531,9.755,10.417,9.337,10.395,14.425,13.076,13.288,10.889,12.908,9.983,10.308,10.994,9.809,12.884,16.138,12.827,14.162,11.976,7.594,11.176,9.815,10.430
3/2028,16.075,21.601,31.717,19.027,36.998,21.671,19.600,16.555,16.978,13.509,13.272,31.650,26.808,16.411,45.583,13.767,21.389,11.456,15.980,20.177,12.892,16.565,31.652,18.695,40.137,13.698,10.844,16.559,11.265,16.116
4/2028,47.774,58.669,37.628,40.116,65.876,45.721,44.601,51.460,62.025,37.881,34.181,89.172,78.261,53.256,71.428,35.112,44.669,28.242,36.539,76.629,19.739,46.241,43.498,38.879,77.387,30.396,44.871,27.609,19.112,68.618
5/2028,217.923,158.817,106.239,143.278,203.024,147.705,149.862,124.563,227.474,51.625,113.394,148.969,239.716,126.914,150.235,182.678,210.723,88.624,127.842,113.514,77.972,116.756,95.100,103.401,152.030,72.170,126.395,118.605,78.852,157.501
6/2028,225.104,144.183,263.228,98.184,253.562,125.089,217.176,73.219,123.916,28.552,83.621,96.011,208.723,82.667,117.506,211.855,116.148,140.951,217.888,48.690,60.707,145.767,182.482,167.238,164.687,30.024,259.880,88.359,151.629,108.341
7/2028,81.514,37.468,203.626,39.623,93.608,70.774,141.627,23.518,51.185,12.470,26.800,36.527,79.760,48.783,46.515,81.042,45.547,41.189,85.030,19.869,25.563,46.869,58.582,49.046,52.795,13.258,110.569,31.255,87.148,61.553
8/2028,38.654,19.138,70.017,19.097,66.290,29.547,89.668,16.083,35.802,9.509,19.163,18.597,39.925,33.782,39.309,31.768,20.715,34.330,28.022,13.675,26.463,30.241,24.824,33.585,30.054,9.095,33.658,16.969,33.681,36.433
9/2028,30.335,30.701,36.435,21.549,62.467,23.974,44.549,15.292,18.404,22.773,33.437,41.174,23.636,33.320,36.101,36.914,15.008,18.349,20.074,11.055,46.115,39.084,16.514,23.229,18.192,9.349,17.398,12.590,43.387,23.792
10/2028,21.444,26.827,26.833,38.379,50.273,24.200,21.211,18.393,14.971,23.981,17.274,41.725,40.499,81.907,33.078,22.356,16.835,21.584,29.115,9.941,30.392,41.982,19.932,16.705,16.651,12.311,12.363,13.380,18.472,15.428
11/2028,16.029,19.950,18.160,20.822,26.594,20.493,14.856,14.530,12.788,14.241,12.253,25.256,25.155,30.944,19.742,17.399,16.519,17.985,20.264,9.439,19.169,20.941,15.658,12.738,13.336,10.709,11.793,13.869,14.124,13.015
12/2028,14.457,14.922,15.626,15.769,18.107,16.903,13.414,12.337,11.709,11.530,11.644,17.363,17.495,18.864,15.636,14.974,13.157,13.899,14.864,10.059,14.292,16.061,13.089,12.059,12.568,9.487,12.321,12.243,12.229,11.974
1/2029,13.703,13.229,14.459,13.314,15.246,14.322,13.230,11.526,11.530,10.619,10.673,16.034,15.440,14.667,13.085,13.530,12.031,12.153,13.596,10.255,12.340,13.919,11.535,11.926,12.151,9.181,11.972,11.019,11.283,11.408
2/2029,11.668,14.482,15.809,11.255,12.652,13.492,12.513,9.982,10.170,9.707,9.904,14.152,12.812,14.046,10.550,12.571,10.212,10.362,10.724,9.856,12.684,15.491,12.688,13.689,11.730,8.138,10.722,10.219,10.113,10.200
3/2029,21.785,33.882,19.274,38.723,21.695,20.390,17.159,17.891,13.692,14.198,31.004,26.845,16.664,47.548,13.815,21.723,12.150,16.695,20.355,13.057,16.683,31.262,18.911,39.000,13.904,12.024,16.425,12.064,16.204,16.382
4/2029,58.725,39.582,40.114,67.902,45.280,45.779,51.811,59.177,38.067,35.754,88.060,77.137,53.570,73.495,35.145,42.195,29.660,37.588,76.720,19.193,46.581,43.303,39.185,77.742,30.454,47.561,27.431,20.725,68.508,48.258
5/2029,158.742,107.842,143.166,199.500,147.504,151.442,124.767,228.627,51.629,115.530,148.342,234.153,127.021,151.638,182.485,209.751,89.629,129.266,113.542,78.182,117.313,94.925,104.117,147.793,72.273,130.168,118.190,77.929,157.737,218.692
6/2029,144.063,264.224,98.195,256.730,124.970,217.539,73.435,126.978,28.571,84.384,95.861,211.540,82.549,117.852,211.723,116.254,141.371,218.318,48.647,61.727,145.929,182.379,167.357,166.807,30.112,261.374,88.166,151.656,108.411,225.362
7/2029,37.478,203.899,39.700,92.479,70.695,141.837,23.721,52.703,12.526,27.083,36.448,83.234,48.751,46.956,80.996,47.646,41.528,85.153,19.898,25.864,46.897,58.538,49.099,53.330,13.357,110.840,31.162,89.968,61.553,81.573
8/2029,19.097,70.166,19.113,71.207,29.465,89.910,16.213,36.279,9.517,19.362,18.485,40.485,33.788,39.712,31.699,21.097,34.619,28.077,13.645,26.887,30.214,24.737,33.605,30.983,9.132,33.808,16.839,34.745,36.390,38.621
9/2029,30.752,36.656,21.643,62.789,23.983,44.793,15.482,18.892,22.868,33.816,41.121,23.564,33.411,36.570,36.932,15.189,18.673,20.206,11.120,45.475,39.155,16.508,23.301,18.227,9.457,17.571,12.560,43.977,23.818,30.372
10/2029,26.868,27.025,38.478,51.289,24.203,21.411,18.601,15.123,24.063,17.535,41.646,40.828,82.044,33.484,22.362,16.910,21.915,29.269,9.995,31.996,42.040,19.911,16.762,17.031,12.420,12.537,13.338,19.168,15.445,21.469
11/2029,19.988,18.324,20.922,27.391,20.499,15.034,14.708,13.212,14.310,12.479,25.207,25.643,31.029,20.072,17.403,16.659,18.271,20.379,9.489,19.556,20.981,15.642,12.790,13.410,10.800,11.954,13.829,14.519,13.032,16.050
12/2029,14.960,15.783,15.848,18.483,16.908,13.587,12.500,11.920,11.595,11.870,17.321,17.697,18.947,16.003,14.979,13.318,14.203,14.970,10.108,14.615,16.102,13.074,12.110,12.622,9.569,12.484,12.205,12.599,11.989,14.478
1/2030,13.263,14.616,13.380,15.488,14.327,13.403,11.673,11.704,10.679,10.876,15.990,15.560,14.746,13.403,13.535,12.104,12.425,13.699,10.327,12.543,13.958,11.523,11.974,12.159,9.258,12.123,10.985,11.557,11.422,13.724
2/2030,14.532,16.028,11.314,12.834,13.498,12.701,10.113,10.308,9.763,10.088,14.113,12.777,14.135,10.808,12.577,10.257,10.600,10.806,9.897,12.434,15.533,12.671,13.748,11.772,8.205,10.857,10.187,10.385,10.212,11.685
3/2030,34.005,19.546,38.909,21.968,20.393,17.463,18.158,13.357,14.280,31.403,26.788,16.650,47.677,14.298,21.733,11.988,17.160,20.519,13.116,17.271,31.324,18.888,39.155,13.801,12.121,16.680,12.023,16.072,16.404,21.852
4/2030,39.656,40.317,68.066,44.369,45.784,52.090,59.441,37.820,35.835,88.833,76.946,52.402,73.587,35.950,42.206,29.280,38.061,76.898,19.252,46.750,43.351,39.155,77.891,29.292,47.832,27.688,20.666,64.740,48.302,58.776
5/2030,107.888,143.301,199.585,144.353,151.445,124.916,228.834,51.151,115.612,148.808,234.055,126.156,151.705,183.149,209.759,85.186,129.717,113.638,78.209,111.721,95.002,104.080,147.907,72.627,130.462,118.472,77.854,159.761,218.765,158.770
6/2030,264.241,98.292,256.754,126.370,217.535,73.542,127.059,29.722,84.428,95.998,211.519,83.313,117.896,211.933,116.257,144.359,218.492,48.706,61.751,150.309,182.414,167.347,166.830,30.646,261.461,88.289,151.616,109.489,225.376,144.077
7/2030,203.909,39.791,92.498,73.437,141.838,23.822,52.774,12.817,27.116,36.521,83.225,48.652,47.004,81.130,47.649,42.205,85.281,19.950,25.892,47.910,58.556,49.094,53.343,13.579,110.869,31.268,89.947,62.196,81.577,37.486
8/2030,70.176,19.198,71.229,30.032,89.912,16.307,36.345,9.647,19.393,18.530,40.478,34.633,39.761,31.814,21.099,35.429,28.191,13.694,26.915,30.850,24.751,33.599,30.995,9.171,33.829,16.934,34.727,36.886,38.623,19.105
9/2030,36.665,21.727,62.810,24.350,44.795,15.569,18.951,22.544,33.852,41.186,23.558,33.087,36.615,37.072,15.191,18.933,20.294,11.164,45.508,38.084,16.521,23.297,18.236,9.483,17.585,12.647,43.958,24.377,30.375,30.760
10/2030,27.034,38.584,51.305,24.101,21.413,18.700,15.180,24.512,17.562,41.726,40.821,82.324,33.523,22.464,16.912,21.914,29.381,10.038,32.026,43.624,19.926,16.758,17.040,12.247,12.552,13.418,19.154,15.707,21.471,26.877
11/2030,18.331,21.031,27.404,20.970,15.036,14.794,13.264,14.622,12.505,25.256,25.638,31.747,20.104,17.493,16.661,18.665,20.472,9.529,19.581,21.420,15.654,12.787,13.418,10.944,11.968,13.904,14.504,13.215,16.052,19.995
