segdesc   = GBRW4R_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,71.309,116.082,125.307,94.970,46.156,50.230,70.582,56.938,47.198,94.013,79.179,42.917,53.486,59.012,84.136,85.641,97.502,64.401,60.607,23.563,35.261,60.387,72.708,65.599,66.589,90.384,57.240,94.388,38.356,39.451
6/2026,240.777,104.633,182.475,113.384,275.589,211.899,184.874,169.080,197.960,147.310,97.689,149.876,134.671,187.952,198.852,76.902,77.141,160.311,237.688,187.125,131.907,126.498,88.255,128.590,232.860,194.191,121.115,190.812,160.920,183.543
7/2026,103.652,59.260,111.446,21.085,209.791,84.194,66.188,209.256,106.724,39.600,26.428,54.233,42.278,139.894,130.152,8.981,18.618,101.166,174.431,174.643,184.696,44.848,31.696,73.856,134.859,59.340,45.098,65.947,116.678,84.144
8/2026,44.895,23.848,98.673,17.180,68.439,30.005,46.271,61.822,39.061,22.001,16.739,23.165,20.031,48.961,43.910,14.710,22.497,31.495,47.846,52.450,49.691,20.110,18.025,29.995,39.668,26.626,21.453,26.317,38.617,27.608
9/2026,41.277,22.615,38.600,17.109,35.030,22.384,40.817,32.225,36.715,27.741,16.183,25.879,23.570,39.411,27.410,15.897,20.217,28.418,26.590,32.317,28.122,16.526,24.194,29.124,28.512,26.223,24.742,19.902,31.360,20.394
10/2026,35.270,25.271,40.850,32.370,42.650,31.291,50.699,42.153,32.160,33.108,22.494,33.857,24.610,44.415,36.156,37.035,41.390,32.452,38.803,33.087,36.762,23.008,34.296,87.353,43.378,65.809,43.562,28.919,37.667,26.510
11/2026,36.648,26.616,34.970,30.303,40.194,33.850,34.502,35.034,30.339,30.196,31.459,29.542,26.636,44.365,33.853,28.584,34.992,35.480,38.073,33.870,35.135,30.218,29.623,43.844,34.466,66.924,37.398,31.106,32.309,31.495
12/2026,31.496,22.856,29.235,23.868,39.797,31.515,26.919,30.895,26.157,24.597,23.979,24.304,22.622,31.237,29.519,24.791,25.383,27.943,30.314,28.395,28.033,25.164,23.592,32.534,28.286,37.194,33.589,25.422,26.720,26.140
1/2027,26.969,20.541,25.443,20.679,30.948,32.757,22.970,26.135,22.954,21.360,19.849,21.179,20.178,26.222,29.536,23.184,20.983,25.805,25.946,25.684,25.556,21.076,20.908,30.110,25.064,29.885,28.767,22.173,23.059,22.295
2/2027,23.520,19.140,21.791,29.001,35.096,26.513,19.740,24.317,24.018,18.936,17.350,27.031,18.941,23.330,24.891,22.262,17.921,24.727,22.089,24.096,24.338,18.850,25.368,34.089,30.519,41.917,26.517,22.456,20.834,23.630
3/2027,44.990,41.940,43.334,58.644,52.174,50.554,38.321,41.348,34.142,32.643,26.220,35.545,50.600,44.808,33.660,55.602,26.167,44.227,32.266,32.028,52.707,33.359,38.694,61.907,50.116,124.707,33.863,36.946,38.869,30.948
4/2027,62.066,63.200,78.954,57.642,106.606,79.439,67.707,56.308,68.555,43.397,55.630,58.884,101.370,68.834,90.347,59.308,31.542,73.064,45.632,55.651,108.410,40.636,68.764,67.735,79.469,244.487,63.805,86.729,57.478,53.612
5/2027,141.500,189.546,161.348,53.914,139.698,303.980,126.761,149.708,142.216,93.891,48.824,57.294,92.099,130.698,210.922,144.610,107.832,124.200,21.273,139.588,136.295,61.002,170.742,148.062,121.132,357.584,214.854,71.185,107.160,71.196
6/2027,53.405,349.282,141.926,388.239,553.197,674.654,271.830,507.440,193.404,111.599,183.510,208.550,229.956,353.938,261.692,56.562,272.392,427.455,179.471,376.384,182.873,87.236,435.540,274.542,272.052,701.231,406.986,235.628,320.188,314.082
7/2027,29.088,226.633,24.718,415.481,275.829,304.421,338.136,325.345,57.636,28.407,78.190,75.000,158.562,251.797,73.891,7.252,191.793,338.290,168.145,614.245,62.422,33.346,285.494,130.507,88.643,354.253,183.552,207.434,161.519,156.385
8/2027,19.241,177.416,23.596,148.703,88.409,148.380,113.210,113.652,33.389,19.420,33.751,33.958,63.635,82.615,43.364,24.496,61.488,105.960,55.923,182.235,32.133,21.616,97.354,49.545,42.933,115.609,65.194,77.223,56.815,69.381
9/2027,23.255,68.833,23.207,62.886,53.500,93.998,52.800,77.145,38.789,18.806,34.377,33.940,52.268,46.517,35.319,23.440,46.314,51.323,36.735,79.526,25.583,28.529,66.598,37.554,38.592,80.018,40.558,52.217,37.322,56.136
10/2027,22.194,52.940,34.508,54.183,50.784,80.641,50.902,50.591,36.424,21.401,35.092,27.578,47.695,45.839,51.643,40.108,39.816,50.975,30.896,66.974,27.429,32.685,115.723,45.238,71.621,83.838,41.213,46.440,35.445,38.227
11/2027,24.292,44.172,32.110,47.823,49.165,55.643,41.228,44.378,32.728,30.602,30.421,28.944,47.241,41.090,39.109,34.022,41.365,47.240,32.165,56.282,34.272,28.200,60.241,36.132,71.733,66.704,40.780,38.761,38.814,38.975
12/2027,20.807,37.395,25.542,46.438,45.099,45.469,36.364,38.623,26.841,23.256,25.072,24.680,33.806,35.986,34.122,24.569,32.853,38.129,26.955,46.125,28.644,22.272,45.862,29.841,40.332,59.423,33.873,32.405,32.450,33.471
