segdesc   = GJNC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,40.276,55.705,49.924,45.069,58.070,43.450,45.632,41.263,54.249,48.046,53.827,42.362,59.244,44.348,48.938,47.599,49.144,47.853,50.076,44.982,56.435,50.999,56.182,52.352,67.221,50.439,49.073,51.209,51.351,50.289
6/2026,51.975,68.745,52.552,45.224,105.122,38.270,58.638,45.002,71.820,43.753,48.437,43.178,55.251,39.382,50.651,41.889,45.386,55.766,49.974,52.025,82.541,47.920,60.200,67.983,108.996,52.391,60.944,45.136,81.668,49.709
7/2026,20.305,22.421,20.964,22.639,35.877,18.758,19.134,18.759,23.092,18.758,18.759,20.431,20.337,20.067,18.953,19.664,18.962,19.048,22.930,21.579,23.367,27.423,30.806,31.170,36.951,26.211,22.987,23.631,22.808,23.024
8/2026,22.749,26.101,24.768,23.712,27.449,19.890,20.445,20.802,32.114,22.020,21.920,23.441,23.251,23.799,21.351,23.489,22.336,23.275,25.232,25.555,29.895,26.426,37.535,40.808,39.766,36.702,27.360,32.820,27.138,27.649
9/2026,30.286,40.125,40.049,36.272,48.482,37.427,43.813,33.898,40.931,38.566,40.297,32.086,41.706,48.410,37.600,45.153,55.218,45.299,45.275,42.031,53.014,40.704,58.663,67.254,55.230,53.464,46.274,46.839,44.187,45.914
10/2026,54.538,59.093,68.818,58.812,68.345,68.133,76.731,62.845,54.422,65.488,59.359,52.335,55.437,61.278,70.580,106.907,88.063,65.995,68.689,67.119,77.955,51.562,84.734,94.551,81.880,75.442,76.779,61.202,79.648,50.527
11/2026,36.785,41.830,41.417,39.926,45.452,43.940,46.928,37.531,37.791,36.026,37.502,38.308,36.005,43.091,43.161,53.278,49.269,35.733,37.242,38.580,38.837,33.460,44.341,41.736,39.623,36.269,37.186,37.041,37.633,38.745
12/2026,28.965,29.566,27.892,29.581,32.956,32.601,32.284,30.379,28.340,27.339,28.480,28.617,29.558,31.317,30.027,34.918,35.702,27.647,27.709,32.600,28.875,26.386,31.231,31.487,30.939,29.536,27.452,27.063,28.917,29.083
1/2027,24.426,28.391,24.107,26.114,27.366,28.039,28.493,26.344,26.172,23.542,24.474,24.625,25.717,34.722,26.910,29.600,28.752,24.687,23.663,28.255,25.660,23.468,26.138,27.082,26.942,29.360,23.447,24.225,24.945,24.191
2/2027,20.611,24.198,19.940,23.732,30.104,22.163,22.784,22.221,23.469,19.964,19.176,21.068,20.458,25.393,20.490,26.516,23.983,22.145,18.911,22.058,21.172,20.981,25.078,27.014,24.587,27.865,19.710,20.015,20.245,20.937
