segdesc   = GLDA3L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,51.395,348.960,269.281,158.187,510.752,135.529,232.891,70.603,225.964,231.630,330.000,0.786,257.723,157.843,245.381,153.234,334.900,161.762,268.076,43.182,168.438,130.101,183.059,176.941,442.604,445.834,154.461,262.386,117.187,137.937
6/2026,273.853,231.427,270.768,40.422,910.382,70.995,315.692,133.908,388.236,113.590,87.793,25.940,257.801,3.032,258.068,28.386,82.249,234.836,208.573,296.066,358.720,-22.666,93.912,241.356,728.782,250.952,164.434,33.089,473.611,82.559
7/2026,60.514,27.307,42.362,-71.661,531.827,0.955,39.410,105.638,149.861,-44.827,-40.641,-52.164,-9.019,28.693,80.451,-60.922,-52.672,58.230,115.339,107.080,170.684,-37.886,-32.264,6.674,251.491,31.536,-1.652,-31.591,207.430,-19.372
8/2026,108.269,107.994,138.624,21.181,238.626,31.340,190.302,122.733,242.351,31.421,78.507,26.898,60.407,67.694,104.080,66.011,97.441,91.405,90.081,143.668,126.046,47.851,105.320,105.495,149.826,118.358,71.320,36.461,102.559,35.437
9/2026,200.617,162.837,209.901,121.746,205.875,121.759,291.608,142.757,232.989,111.136,99.501,151.029,228.744,172.200,122.561,142.592,177.428,148.971,103.384,129.226,160.499,83.517,307.828,204.601,164.825,194.950,98.308,76.229,112.658,95.205
10/2026,214.349,202.883,296.221,304.271,354.534,316.032,554.869,296.039,230.647,303.101,179.128,293.920,239.689,376.475,360.503,846.340,395.720,232.268,221.799,324.075,328.550,173.548,481.564,482.890,329.427,328.104,296.419,284.133,222.275,201.608
11/2026,330.946,288.498,340.323,355.922,370.096,377.899,406.504,424.583,275.252,320.740,272.321,315.164,303.561,504.672,386.105,458.387,388.264,297.932,312.082,356.981,360.358,245.046,429.956,367.593,356.990,345.071,301.877,313.238,300.268,327.697
12/2026,284.528,249.550,257.626,277.589,337.648,352.034,294.813,320.571,250.901,248.109,250.047,255.009,277.984,310.725,279.883,313.553,329.673,273.188,268.904,322.688,286.614,236.702,300.138,294.919,295.125,298.307,270.192,249.927,294.991,274.567
1/2027,237.875,320.985,220.874,261.403,284.238,313.992,257.844,251.779,229.026,224.821,210.826,217.926,239.605,450.948,250.582,260.814,261.305,258.267,234.334,298.679,256.468,213.514,242.243,264.631,266.913,324.868,227.480,226.230,247.821,217.119
2/2027,256.069,420.931,195.653,281.084,294.707,288.359,260.873,242.621,258.196,206.174,159.507,235.448,207.648,453.670,204.549,264.423,243.305,255.386,264.612,243.493,228.103,207.105,234.636,344.743,298.787,447.090,218.133,230.421,214.317,202.981
