segdesc   = GRNU1L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,80.453,124.738,140.512,98.898,64.816,60.345,78.419,65.378,54.660,97.864,87.636,48.781,63.510,66.774,96.576,90.891,113.616,69.528,66.171,35.406,57.164,68.538,78.591,70.472,99.515,223.746,66.355,103.637,57.773,47.118
6/2026,261.594,103.433,188.816,115.122,313.879,206.962,177.663,181.973,201.332,147.838,100.575,144.304,151.519,176.720,193.506,79.804,78.874,157.841,231.955,186.901,148.139,119.698,88.776,130.109,240.505,218.678,116.090,187.973,173.280,177.224
7/2026,115.282,65.158,115.660,21.962,230.385,91.464,71.157,219.817,115.127,41.820,29.365,59.499,59.758,149.260,141.796,8.996,17.811,110.300,188.787,188.036,198.353,48.978,32.530,77.839,150.784,72.801,51.639,71.302,122.989,90.161
8/2026,51.723,25.223,105.312,17.621,75.230,31.931,52.823,67.471,42.016,22.173,18.797,25.340,23.785,51.117,46.355,15.221,23.774,33.727,52.004,55.553,54.322,20.511,18.494,35.564,43.595,34.273,24.772,27.576,41.369,28.744
9/2026,45.195,21.989,39.615,16.161,37.060,23.554,43.274,32.284,38.332,29.349,15.434,26.169,25.314,39.934,27.757,15.920,20.538,31.554,25.982,32.784,29.149,15.258,23.849,35.151,28.243,36.926,24.967,18.953,32.404,20.839
10/2026,39.275,25.941,46.120,49.195,47.332,34.333,58.391,46.076,34.530,38.788,23.057,38.151,27.859,51.378,37.182,41.240,52.532,35.627,40.783,34.532,43.644,24.032,51.030,99.442,45.895,83.479,50.297,35.001,42.319,28.239
11/2026,50.539,30.893,43.980,39.433,49.701,45.513,41.091,44.384,36.961,37.274,35.254,35.190,35.799,72.527,40.378,34.649,43.851,42.716,46.002,41.186,45.894,35.712,39.003,54.246,42.885,84.760,45.325,39.738,39.964,37.178
12/2026,41.763,25.995,36.500,29.329,50.155,41.307,31.639,39.698,31.890,28.195,27.769,27.770,28.187,42.300,34.516,28.595,30.020,33.749,37.244,35.740,37.126,28.560,28.591,41.480,36.508,52.040,40.336,29.578,34.042,29.985
1/2027,33.246,23.678,30.383,27.387,39.834,57.038,27.457,32.917,26.748,24.979,23.406,24.961,25.631,35.818,34.720,27.065,25.064,29.579,32.531,32.389,33.617,24.117,25.871,39.730,30.135,43.434,33.541,26.056,29.592,25.779
2/2027,36.893,26.164,30.398,45.609,51.419,42.895,28.381,33.502,34.657,26.547,24.873,37.607,28.301,36.178,33.666,32.857,25.505,33.606,29.366,33.022,34.553,26.192,37.560,50.169,45.222,83.445,38.079,29.708,28.943,33.556
3/2027,112.352,90.052,90.855,104.661,86.708,99.469,73.769,72.564,58.215,61.862,49.144,63.199,92.527,83.040,59.639,87.835,47.180,73.361,53.035,61.622,87.583,58.542,68.272,91.006,88.414,326.359,60.781,64.535,86.672,53.565
4/2027,109.720,154.935,112.224,88.046,139.048,123.416,136.019,92.852,93.715,95.820,79.374,87.947,140.673,119.423,121.453,88.006,52.389,113.011,73.841,193.578,147.468,63.144,88.802,90.757,139.845,519.515,85.840,253.732,115.452,75.478
5/2027,163.093,306.982,179.861,140.250,193.105,404.830,198.395,293.619,149.230,150.651,53.008,70.780,109.783,247.268,234.465,171.839,132.387,158.188,50.889,322.802,159.923,77.758,188.152,182.129,382.237,516.476,222.402,157.296,140.296,100.704
6/2027,65.375,458.472,160.446,530.642,632.516,773.000,369.271,663.984,204.512,141.371,182.781,244.487,229.737,432.481,291.149,66.201,315.373,476.902,221.877,604.168,187.851,93.345,473.365,312.426,399.098,837.097,419.705,316.521,347.781,382.878
7/2027,35.229,257.786,28.409,551.603,298.134,331.017,409.312,382.498,60.710,34.850,83.462,97.132,168.539,293.363,78.852,7.406,222.378,376.778,191.939,797.013,67.927,34.386,297.523,148.898,121.694,401.191,192.562,232.794,174.201,176.519
8/2027,23.569,195.645,24.897,177.379,95.552,165.727,133.650,130.449,34.063,22.239,35.323,39.826,67.545,94.042,45.552,24.141,68.255,117.801,63.576,213.723,31.269,21.164,108.308,55.713,62.195,142.814,68.482,91.143,62.856,80.726
9/2027,24.462,77.647,22.155,73.232,58.420,104.990,59.995,90.392,40.073,19.501,32.602,36.820,54.768,52.649,36.404,22.403,54.223,53.980,39.959,91.651,23.751,26.614,77.314,38.160,62.038,97.220,40.230,62.756,43.090,65.639
10/2027,24.676,65.395,51.140,64.650,56.755,95.291,61.286,61.187,40.175,24.137,37.235,30.247,56.652,51.651,57.450,50.309,45.546,56.343,34.482,83.300,28.748,47.599,129.791,49.046,98.893,108.111,48.072,59.331,41.756,44.273
11/2027,31.611,59.454,43.137,62.389,63.687,70.588,56.224,58.573,38.316,36.965,34.552,35.725,74.817,51.980,49.145,42.064,50.815,58.231,41.595,74.414,40.490,36.350,72.092,45.714,96.775,89.048,51.171,53.419,50.089,54.781
12/2027,27.221,50.405,32.910,61.967,59.988,58.471,50.359,52.529,30.618,29.488,28.359,30.797,44.707,46.768,41.778,29.696,41.974,47.821,36.235,63.851,33.885,27.701,56.000,38.838,61.635,80.913,40.732,46.306,43.298,45.690
1/2028,24.908,45.652,30.700,52.324,74.665,51.628,44.429,47.575,27.145,25.051,25.474,28.035,39.568,47.623,39.137,24.804,39.037,42.046,33.516,59.404,28.888,25.079,52.219,32.503,52.007,70.897,34.214,41.493,37.297,39.253
2/2028,28.469,45.725,51.892,66.578,59.501,50.254,45.337,54.493,29.691,27.654,39.403,31.619,40.898,46.679,44.277,26.456,41.527,41.564,35.273,58.897,31.426,38.970,64.996,49.646,97.571,71.764,37.993,42.404,43.147,42.365
3/2028,98.920,107.426,107.613,99.323,115.045,100.572,84.034,77.591,64.993,51.506,64.374,97.818,88.359,72.824,99.807,47.740,79.010,65.846,62.810,114.499,63.469,67.586,107.855,90.119,358.296,94.001,74.288,98.956,61.199,118.899
4/2028,154.976,135.739,92.338,153.694,141.551,162.256,116.261,112.801,101.209,82.068,88.827,147.334,125.739,135.980,97.377,51.242,124.136,85.369,197.776,191.326,68.263,90.541,106.017,141.371,530.761,120.615,268.868,126.155,84.608,115.420
5/2028,328.422,242.105,156.530,241.822,477.719,260.922,351.779,196.741,166.582,57.785,84.386,120.829,272.587,304.308,203.104,129.641,202.500,64.074,346.420,231.111,89.310,211.012,243.093,388.735,581.242,338.697,172.907,164.048,119.548,184.189
6/2028,458.614,184.621,572.320,683.637,843.965,459.383,732.166,239.833,144.547,191.485,248.876,246.567,469.026,318.402,76.850,318.300,537.231,292.372,669.406,218.304,100.785,481.201,355.280,405.080,874.763,492.769,348.160,391.691,417.457,69.784
7/2028,258.194,36.504,553.721,309.993,330.832,430.846,379.849,73.074,35.757,81.804,97.376,178.838,284.628,81.713,12.283,223.554,379.001,203.730,792.839,81.832,37.221,292.259,154.629,125.370,395.596,205.456,239.843,184.801,179.351,36.811
8/2028,190.820,32.836,173.375,100.086,167.356,137.005,131.113,41.874,23.799,34.850,40.536,71.439,94.193,49.451,29.620,68.428,115.720,67.700,207.267,43.109,22.940,109.127,59.439,63.354,142.929,79.798,92.730,68.390,83.718,25.201
9/2028,76.909,28.393,72.665,61.376,108.272,65.282,93.391,47.998,20.557,33.741,37.695,56.806,53.346,40.092,27.241,54.175,55.279,42.760,90.341,32.681,29.199,77.551,42.087,62.604,100.417,49.981,65.715,47.535,67.817,26.386
10/2028,65.973,57.232,65.245,59.683,95.602,66.697,63.249,49.408,25.358,38.545,30.842,58.540,52.884,61.396,54.601,45.599,58.356,37.714,84.293,37.460,49.106,128.722,52.327,99.590,109.651,58.770,61.387,45.924,47.000,26.250
11/2028,59.970,47.150,63.291,66.343,72.158,60.497,60.900,44.309,38.156,35.330,36.178,77.278,52.947,51.910,44.474,50.855,59.463,44.350,74.419,50.205,37.566,71.254,48.423,97.419,90.729,59.569,55.088,53.817,57.299,33.027
12/2028,51.070,36.833,62.392,62.265,59.951,54.360,54.606,35.892,30.119,29.142,31.123,45.940,47.684,44.400,32.058,41.838,48.937,38.557,64.162,41.052,29.007,55.910,41.759,61.921,82.014,49.758,47.886,46.593,47.500,28.416
1/2029,46.352,34.308,52.664,76.781,53.069,48.007,49.531,31.953,25.732,26.407,28.390,40.705,48.223,41.384,27.060,38.962,43.151,35.714,59.780,34.456,26.323,52.420,35.686,52.287,72.297,42.909,42.965,41.084,41.811,26.017
2/2029,44.462,53.344,64.804,59.113,49.505,48.252,54.296,32.292,27.047,38.671,30.604,40.161,45.521,45.064,27.180,39.190,40.824,36.747,56.846,34.702,38.746,62.814,50.046,93.321,70.589,42.568,42.044,43.869,42.360,28.181
3/2029,108.189,111.272,99.955,116.135,101.831,88.573,79.990,68.127,52.166,65.244,98.113,87.528,73.758,103.715,49.589,78.953,66.927,64.836,114.943,67.756,68.902,108.026,92.431,341.588,95.718,80.928,100.609,63.878,120.920,99.772
4/2029,137.629,96.556,158.125,140.103,164.759,121.055,116.549,103.375,83.822,90.963,148.819,124.973,138.186,101.142,53.887,120.618,88.287,200.608,192.767,72.212,92.835,107.700,145.370,535.971,123.359,280.342,128.690,86.546,118.993,156.918
5/2029,237.655,161.615,250.132,472.110,266.129,358.748,200.760,168.366,59.720,86.244,122.607,263.700,306.845,211.822,133.538,192.138,65.637,351.307,231.789,93.475,213.473,243.302,400.365,568.887,342.099,182.750,168.796,117.666,189.377,332.306
6/2029,183.103,602.701,689.827,854.254,461.469,738.519,239.543,152.454,190.957,248.434,246.085,467.378,317.279,77.247,325.491,523.657,295.646,679.358,217.048,104.820,482.339,353.330,424.183,870.289,491.852,354.592,396.254,414.235,69.996,461.239
7/2029,34.669,557.242,307.692,341.451,428.928,383.661,71.702,39.053,79.896,96.285,177.125,299.434,79.956,11.078,222.110,381.395,202.155,792.264,79.623,39.008,290.598,152.354,124.415,406.299,203.714,248.211,183.285,185.576,35.671,256.790
8/2029,32.637,173.611,99.794,169.994,136.983,131.674,41.927,25.428,34.492,40.355,71.068,96.028,49.253,29.944,68.473,120.442,67.524,206.923,42.706,25.969,109.080,58.996,63.572,145.948,79.905,94.906,68.241,86.150,25.397,190.699
9/2029,28.737,73.552,61.579,108.204,65.657,94.275,48.681,22.043,33.848,37.721,56.874,54.063,40.370,28.545,54.682,55.775,43.077,90.708,32.800,30.299,77.979,42.096,63.251,99.679,50.651,68.123,47.889,70.115,27.402,77.122
10/2029,57.386,65.942,59.777,98.244,66.909,63.929,50.107,26.472,38.644,30.857,58.491,52.987,61.556,55.378,45.837,57.994,37.780,84.537,37.405,51.793,128.965,52.177,100.120,110.610,59.264,63.574,46.121,47.836,26.670,66.057
11/2029,47.341,63.871,66.380,72.962,60.698,61.408,45.018,39.270,35.393,36.334,77.093,53.120,52.031,45.105,51.087,59.653,44.473,74.556,50.177,39.853,71.423,48.319,97.818,91.034,60.072,56.879,53.987,58.064,33.547,60.040
12/2029,37.150,62.698,62.451,60.612,54.669,55.275,36.559,31.584,29.314,31.361,46.002,47.828,44.655,32.808,42.221,49.092,38.835,64.104,40.997,30.885,56.186,41.816,62.395,82.756,50.347,49.709,46.891,48.666,29.034,51.256
1/2030,34.573,53.262,76.940,53.550,48.253,50.110,32.534,26.933,26.534,28.580,40.733,48.595,41.587,27.713,39.279,43.189,35.937,60.021,34.554,27.977,52.646,35.564,52.675,72.602,43.271,44.593,41.322,42.631,26.551,46.493
2/2030,53.593,65.359,59.234,49.912,47.828,54.784,32.779,27.875,38.777,30.767,40.183,45.462,45.242,27.723,39.734,40.866,36.906,57.044,34.788,39.438,63.011,50.067,93.656,70.792,42.995,43.392,44.099,42.618,28.624,44.580
3/2030,111.556,100.558,116.192,98.550,88.811,80.597,68.716,52.550,65.360,98.423,87.548,73.001,103.855,50.171,79.286,66.212,65.048,115.216,67.868,70.408,108.266,92.462,342.116,95.038,81.400,102.705,64.090,120.565,100.306,108.323
4/2030,96.777,158.875,140.237,162.728,121.304,117.325,104.106,83.717,91.110,149.038,124.986,134.867,101.341,54.485,120.990,85.411,200.867,193.098,72.331,91.683,107.237,145.443,537.056,120.187,281.218,130.491,86.788,117.537,157.530,137.233
5/2030,161.801,251.258,471.325,255.956,358.982,200.501,169.236,56.971,86.394,122.818,267.222,292.926,211.597,134.250,192.198,62.678,351.736,232.076,93.600,198.336,243.508,394.263,573.842,324.883,183.325,171.084,117.962,192.219,333.204,237.754
6/2030,602.152,690.510,854.378,467.580,753.176,239.883,152.862,189.329,248.564,246.150,468.378,327.515,77.262,325.782,526.976,276.911,683.838,217.216,104.842,490.053,353.874,414.702,870.830,500.528,355.049,397.873,414.636,73.924,461.720,183.208
7/2030,557.306,308.000,341.532,436.478,383.832,71.944,39.278,85.556,96.321,177.169,299.447,84.727,11.123,222.508,390.073,213.903,792.393,79.701,39.000,299.607,152.504,124.184,406.433,211.780,247.534,184.118,185.706,38.582,257.157,34.689
8/2030,173.764,100.060,170.068,142.722,131.765,42.159,25.687,36.561,40.398,71.111,96.032,49.787,30.007,68.743,120.535,68.890,206.983,42.802,25.966,110.314,59.078,63.573,146.021,81.679,95.152,68.966,86.244,26.128,190.909,32.674
9/2030,73.669,61.808,108.269,66.403,94.356,48.905,22.254,34.215,37.752,56.921,54.064,40.196,28.629,54.944,55.851,43.857,90.755,32.891,30.334,78.913,42.163,63.253,99.736,51.116,68.362,48.557,70.194,27.483,77.295,28.775
10/2030,66.053,59.984,98.310,67.103,63.999,50.346,26.669,39.014,30.890,58.584,52.988,61.807,55.488,46.056,58.068,37.784,84.586,37.492,51.852,131.360,52.241,100.121,110.666,59.001,63.790,46.742,47.905,26.819,66.227,57.443
11/2030,63.971,66.587,73.019,61.129,61.472,45.378,39.465,36.059,36.364,77.062,53.121,52.575,45.179,51.285,59.718,44.503,74.595,50.257,39.901,73.150,48.375,97.819,91.078,60.571,57.067,54.542,58.126,33.812,60.189,47.387
12/2030,62.792,62.643,60.665,54.896,55.335,36.762,31.773,29.773,31.389,46.070,47.829,44.855,32.876,42.405,49.151,38.893,64.141,41.103,30.931,56.977,41.871,62.398,82.798,50.506,49.889,47.414,48.725,29.290,51.395,37.191
1/2031,53.349,77.129,53.599,48.438,50.165,32.720,27.107,26.787,28.606,40.796,48.595,41.919,27.775,39.449,43.243,35.917,60.056,34.624,28.021,53.131,35.591,52.678,72.639,43.529,44.760,41.799,42.684,26.796,46.621,34.611
