segdesc   = MPSC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,56.235,85.290,76.564,67.472,81.172,60.265,66.555,52.167,81.526,79.473,89.500,52.209,80.769,65.149,82.163,64.893,73.774,68.529,78.154,58.862,59.064,65.241,71.321,77.755,65.005,69.405,63.618,69.806,48.482,66.432
6/2026,52.367,70.969,57.053,37.534,155.462,27.925,72.496,34.597,75.340,39.205,46.940,27.783,55.492,30.516,43.659,31.411,43.905,61.721,43.279,51.060,70.423,25.763,45.409,58.811,145.557,59.474,58.477,27.772,91.658,38.000
7/2026,28.421,36.842,27.182,20.748,82.762,18.707,32.127,20.084,38.919,22.672,24.611,18.862,23.753,20.389,23.547,23.739,25.389,27.937,24.263,24.279,30.555,18.760,27.658,26.872,57.900,28.177,29.572,18.793,38.194,22.545
8/2026,26.756,40.545,24.952,22.118,40.639,19.037,31.507,21.795,35.502,28.500,32.845,19.921,27.084,21.889,27.756,29.010,29.307,26.630,23.125,28.569,24.810,21.991,29.673,28.374,35.396,28.776,28.244,19.628,29.294,22.344
9/2026,20.243,32.428,23.890,21.827,30.769,18.166,27.808,17.699,26.059,23.289,21.591,19.933,45.580,23.167,21.739,24.233,29.951,20.304,19.231,19.306,19.508,19.355,45.528,33.027,28.758,22.173,20.205,17.130,20.520,24.964
10/2026,19.393,24.524,24.999,28.917,36.043,27.948,33.951,28.084,24.089,22.561,21.945,29.222,28.241,23.946,35.321,47.102,32.454,21.922,23.394,21.980,23.186,19.266,43.923,42.230,26.144,21.285,24.134,20.006,21.058,26.401
11/2026,19.052,20.358,20.817,22.992,27.200,24.520,26.016,25.003,19.885,19.656,22.421,19.167,20.572,22.518,28.125,34.197,27.394,19.215,22.109,23.017,19.602,16.068,28.679,25.979,24.245,17.827,20.590,19.020,18.765,29.700
12/2026,17.587,18.365,17.090,18.120,25.795,19.699,20.150,22.927,17.522,17.094,17.901,16.658,18.790,17.750,20.227,23.005,19.273,16.942,17.536,19.468,17.055,14.561,21.636,21.153,21.417,16.710,19.640,15.200,17.546,23.147
1/2027,15.877,17.351,15.823,16.613,21.808,16.546,18.335,19.755,18.283,16.006,15.653,15.988,17.056,17.807,17.580,19.468,16.067,15.688,15.663,18.140,16.823,13.615,18.930,18.692,19.874,15.772,17.084,14.095,16.298,18.329
2/2027,15.178,16.264,13.589,19.826,22.474,13.582,16.260,19.729,19.630,15.919,13.358,18.719,14.790,16.075,14.466,18.793,13.138,14.366,13.090,15.179,14.211,12.069,19.202,24.215,18.891,21.703,19.646,12.424,14.917,17.898
