segdesc   = NVRN5L_F
2026-04-30
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,86.088,131.762,106.946,94.012,90.065,84.151,102.306,72.058,73.157,85.062,103.223,72.724,91.945,86.077,83.557,89.935,121.406,90.654,99.369,68.346,82.509,90.101,86.078,98.651,157.313,91.074,98.206,82.321,88.950,81.451
6/2026,40.057,33.514,26.953,18.126,80.855,2.808,31.313,5.841,27.891,-0.527,2.504,1.430,14.547,-2.859,9.695,0.448,20.037,22.967,11.202,12.412,36.168,-3.268,4.033,21.165,159.730,24.625,13.453,-1.288,74.902,0.576
7/2026,0.265,3.367,-12.287,-11.794,20.183,-8.681,-0.993,-4.087,19.226,-15.304,-12.710,-14.370,-15.410,-11.968,-15.177,3.529,-9.719,-6.725,-11.430,-10.863,-8.486,-9.338,-8.602,-10.579,15.014,-11.365,-10.579,-14.619,-7.407,-9.458
8/2026,7.134,29.939,32.221,-0.729,11.510,0.449,17.594,8.099,70.538,0.784,15.106,3.043,-2.587,0.957,4.787,25.692,18.761,0.753,-4.215,12.942,-7.355,-0.890,14.335,-1.899,0.122,9.098,0.148,-0.907,-6.000,-0.075
9/2026,53.603,31.236,59.806,46.479,18.768,27.058,58.651,20.062,60.071,17.646,17.603,27.624,45.306,50.670,21.050,41.877,23.385,30.637,17.757,33.634,18.896,17.356,90.378,26.615,6.647,19.868,22.806,14.789,14.226,18.179
10/2026,20.771,20.027,27.345,39.990,26.123,29.097,83.087,38.387,20.889,30.983,14.530,30.269,20.967,52.811,53.473,115.566,43.324,23.566,19.241,27.636,52.818,13.607,51.216,46.216,27.062,17.448,35.248,22.340,13.828,19.173
11/2026,24.267,19.499,22.464,36.325,21.514,33.762,37.387,52.726,17.882,23.922,14.098,29.214,23.896,38.065,32.558,45.352,22.048,26.495,20.697,23.960,29.755,13.936,30.868,27.069,29.293,19.426,20.932,17.912,14.986,23.502
12/2026,21.101,16.626,18.303,23.592,18.223,26.615,25.013,29.865,15.366,18.023,13.763,18.702,22.203,26.618,19.577,25.862,38.247,19.244,14.801,20.856,20.387,13.282,23.772,20.047,21.943,22.651,18.247,14.190,17.133,17.624
1/2027,16.823,19.789,18.008,19.806,16.154,20.881,22.582,21.704,17.724,17.575,13.177,18.908,18.307,34.218,16.773,22.072,22.623,17.534,13.323,17.277,22.234,16.176,21.054,21.003,17.459,26.544,15.372,13.409,16.206,13.640
2/2027,22.265,20.454,18.004,39.165,25.637,22.272,20.809,23.884,20.501,20.805,13.029,23.877,20.295,44.336,14.609,33.607,18.596,24.893,14.234,19.289,21.207,19.002,26.879,31.753,33.732,66.704,16.143,17.008,17.505,21.537
3/2027,53.298,88.306,56.258,159.584,33.786,131.146,57.733,44.122,40.643,64.407,21.450,48.037,93.585,99.991,31.578,119.890,73.969,55.691,41.943,47.016,57.344,38.059,52.618,64.328,54.348,167.186,26.822,93.565,37.503,33.638
4/2027,209.168,235.884,144.548,189.141,70.858,212.378,121.809,96.785,108.466,191.949,50.203,67.967,192.508,284.712,113.935,139.744,248.030,101.629,136.809,95.763,143.928,48.356,90.349,61.046,95.346,183.467,55.856,188.389,55.552,61.735
