segdesc   = TPIC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,10.798,13.610,11.301,11.989,10.942,11.130,13.051,9.711,12.130,13.589,13.261,10.517,12.560,11.723,12.759,11.886,12.173,11.591,13.882,10.139,9.911,12.510,13.194,12.425,10.279,11.960,12.445,12.011,8.448,12.315
6/2026,10.787,12.189,8.717,7.332,23.153,6.745,14.205,5.954,11.491,7.826,7.973,6.063,9.689,6.192,8.398,7.444,7.524,11.900,9.762,9.774,10.866,6.338,9.652,8.919,20.968,9.739,9.081,6.084,14.419,7.189
7/2026,5.989,7.923,5.372,4.849,15.500,4.714,7.157,4.729,6.618,5.833,5.167,4.601,5.644,4.572,5.419,5.220,5.197,6.268,5.714,5.586,6.343,5.198,6.119,5.419,9.815,5.614,5.914,4.442,7.171,5.033
8/2026,4.674,7.128,4.512,4.142,8.515,4.045,6.356,4.143,5.599,5.001,5.124,3.931,4.610,4.115,5.569,4.959,4.999,4.861,4.654,5.728,5.203,4.379,5.882,5.065,6.279,5.098,6.087,3.936,5.305,4.540
9/2026,3.712,5.678,4.146,3.485,6.929,3.574,4.877,3.205,4.293,3.842,3.942,3.300,5.762,3.434,3.992,4.464,4.611,3.888,3.761,3.930,3.814,3.764,5.341,5.666,5.009,4.082,4.065,3.234,4.008,5.087
10/2026,3.149,3.925,4.041,4.248,6.148,3.486,4.476,3.858,3.679,3.293,3.208,3.986,4.031,3.429,4.573,5.955,4.430,3.818,4.243,3.452,3.731,3.167,5.532,6.499,4.043,3.313,4.388,3.090,3.357,4.504
11/2026,2.787,3.278,3.344,3.372,4.735,3.609,3.711,3.000,3.157,2.759,3.438,2.756,3.073,2.984,4.052,4.257,3.686,3.288,3.699,3.761,3.144,2.688,3.686,4.140,3.496,2.810,3.690,2.956,3.015,4.782
12/2026,2.680,3.032,2.739,2.834,4.380,3.091,3.261,3.010,2.838,2.569,2.849,2.436,2.792,2.534,3.158,3.284,2.872,2.862,2.956,3.046,2.764,2.434,3.129,3.213,3.339,2.583,3.471,2.441,2.872,3.627
1/2027,2.470,2.803,2.483,2.522,3.730,2.541,2.946,2.461,2.642,2.386,2.537,2.249,2.503,2.308,2.759,2.846,2.466,2.569,2.654,2.660,2.583,2.226,2.863,2.880,3.076,2.318,2.860,2.227,2.630,2.911
2/2027,2.160,2.369,2.087,2.204,3.031,2.068,2.426,2.078,2.240,2.014,2.090,2.025,2.074,1.919,2.258,2.398,2.002,2.145,2.190,2.183,2.126,1.906,2.365,2.933,2.712,1.954,2.438,1.876,2.173,2.412
3/2027,2.643,2.850,2.819,3.508,3.329,3.091,2.967,3.129,2.581,2.466,2.249,2.641,4.111,2.126,2.466,4.525,2.035,2.984,2.223,2.503,3.211,2.099,2.360,4.058,3.450,3.790,2.655,1.902,2.546,2.594
4/2027,7.490,6.012,6.238,4.925,7.196,5.430,4.742,5.107,7.488,6.055,6.459,5.578,9.013,5.604,7.847,7.203,2.930,4.733,5.381,5.520,9.389,4.209,4.757,6.942,6.310,8.444,5.356,5.597,5.086,5.791
5/2027,23.140,28.793,22.002,25.403,45.264,30.404,17.113,18.504,27.809,23.082,15.417,19.252,24.698,21.642,27.399,25.719,22.544,29.266,13.152,17.936,19.386,15.233,24.164,16.214,15.162,28.008,24.785,18.959,21.600,18.684
6/2027,24.345,60.806,35.684,75.672,55.863,64.486,27.638,42.674,22.573,24.190,12.123,33.612,20.248,32.858,33.747,25.864,70.152,35.867,37.099,60.015,9.252,28.128,48.191,45.991,39.043,49.151,16.308,52.765,29.332,39.351
7/2027,12.287,31.624,13.838,72.395,22.127,25.795,14.218,28.317,9.618,9.570,5.718,12.176,8.537,14.373,12.245,11.196,35.928,19.863,13.013,40.690,5.729,11.621,18.036,17.230,14.511,19.547,7.121,37.540,10.951,16.212
8/2027,8.104,12.228,6.983,23.422,9.947,12.537,7.126,11.912,6.294,6.594,3.937,6.649,5.626,8.452,7.638,6.993,12.894,8.584,8.266,14.442,4.228,7.246,9.446,7.941,8.003,11.549,4.903,13.259,6.538,7.743
9/2027,6.249,8.758,5.396,13.481,7.437,8.450,4.950,7.357,4.842,4.912,3.313,7.230,4.599,5.628,6.323,6.018,8.203,5.951,5.421,8.236,3.728,6.263,8.866,5.981,5.850,7.222,4.010,7.821,6.554,5.567
10/2027,4.704,8.186,6.359,10.917,7.245,7.885,5.702,6.330,4.433,4.273,4.232,5.461,4.754,6.341,8.250,5.916,7.811,6.528,4.982,7.607,3.382,6.664,10.677,5.094,5.031,7.550,4.017,6.602,6.047,4.945
11/2027,3.930,6.735,5.083,8.133,6.845,6.490,4.440,5.369,3.721,4.404,2.930,4.235,4.090,5.534,5.911,4.882,6.563,5.541,5.086,6.334,2.867,4.525,6.831,4.375,4.255,6.258,3.770,5.760,6.115,4.325
12/2027,3.632,5.768,4.348,7.471,5.993,5.779,4.300,4.844,3.457,3.686,2.585,3.857,3.515,4.398,4.687,3.883,5.823,4.532,4.217,5.648,2.596,3.869,5.275,4.148,3.913,5.802,3.167,5.418,4.744,4.101
1/2028,3.340,5.206,3.867,6.437,5.096,5.207,3.603,4.450,3.181,3.271,2.376,3.455,3.179,3.840,4.070,3.350,5.225,4.046,3.698,5.182,2.369,3.521,4.671,3.801,3.511,4.898,2.872,4.921,3.875,3.746
2/2028,2.902,4.470,3.439,5.416,4.290,4.420,3.110,3.846,2.753,2.776,2.193,2.949,2.717,3.240,3.509,2.810,4.472,3.435,3.129,4.392,2.090,2.999,4.578,3.427,3.034,4.245,2.482,4.184,3.304,3.319
3/2028,3.357,5.181,4.656,5.591,5.354,4.938,4.145,4.120,3.153,2.880,2.746,4.927,2.834,3.349,5.972,2.740,5.306,3.361,3.353,5.475,2.227,2.886,5.775,4.053,4.903,4.352,2.429,4.430,3.401,3.827
4/2028,6.552,9.071,6.128,9.995,7.750,6.805,6.124,9.611,7.000,7.474,5.781,9.983,6.471,9.386,9.776,3.573,7.304,6.695,6.390,12.806,4.465,5.381,9.698,6.867,9.615,7.390,6.354,7.018,6.564,9.137
5/2028,32.429,30.975,29.117,56.467,39.300,23.759,22.441,33.846,25.861,17.683,21.232,27.664,25.086,32.317,29.491,24.474,39.252,16.871,20.877,24.464,16.077,28.367,20.309,17.040,32.579,30.799,20.321,26.508,22.116,26.847
6/2028,63.347,41.181,83.666,61.616,72.343,31.615,47.664,25.594,25.206,12.641,33.344,22.029,34.917,35.861,27.823,74.779,41.285,41.133,66.175,11.598,28.617,50.493,51.525,41.779,52.870,18.055,57.025,33.283,41.979,26.369
7/2028,31.083,15.215,72.398,23.642,26.386,15.720,29.036,10.746,9.842,6.108,11.976,9.139,14.625,12.635,11.691,36.892,21.307,13.624,40.671,7.217,11.579,18.119,17.893,15.070,19.900,8.110,36.853,12.234,16.453,12.939
8/2028,12.197,7.740,23.166,10.783,13.182,8.075,12.144,7.035,6.838,4.246,6.610,5.987,8.729,8.007,7.365,13.096,9.525,8.755,14.459,5.388,7.192,9.630,8.480,8.196,11.829,5.590,13.167,7.395,7.975,8.580
9/2028,8.819,6.254,13.356,8.154,8.949,5.744,7.603,5.431,5.093,3.626,7.262,4.884,5.876,6.634,6.352,8.315,6.782,5.770,8.349,4.730,6.428,9.180,6.461,5.972,7.421,4.664,7.858,7.315,5.781,6.510
10/2028,8.274,7.237,10.966,7.915,8.347,6.530,6.535,4.973,4.460,4.454,5.409,5.027,6.558,8.503,6.220,7.910,7.298,5.328,7.759,4.302,6.534,10.721,5.531,5.192,7.783,4.678,6.664,6.722,5.147,4.982
