segdesc   = VCRC2L_F
2026-04-30
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,36.282,49.223,39.547,37.106,28.377,34.767,39.943,32.170,31.049,36.210,36.378,31.135,37.621,35.340,32.725,35.790,45.819,37.394,39.500,28.768,33.092,35.363,35.491,40.921,46.385,36.315,38.221,34.348,28.369,34.612
6/2026,22.532,21.874,19.134,16.446,35.711,12.483,22.024,13.025,23.382,11.806,11.541,12.486,15.862,10.821,13.719,12.294,17.146,18.707,13.907,13.943,27.705,11.163,13.939,18.445,60.705,21.390,16.138,11.858,33.444,11.750
7/2026,9.582,10.232,6.996,6.980,14.466,7.285,9.867,8.056,19.350,5.523,6.019,5.693,6.913,6.573,6.350,8.961,8.636,8.406,7.004,6.476,8.969,6.827,6.904,7.164,16.402,6.994,6.760,5.607,9.065,6.928
8/2026,6.662,11.473,7.714,6.081,8.585,5.624,11.643,6.709,28.999,5.444,11.774,4.752,7.291,4.593,8.005,8.411,20.585,6.129,4.653,7.563,6.038,5.009,8.111,7.450,9.007,8.472,6.126,4.200,4.705,5.422
9/2026,20.946,10.265,11.570,11.101,7.635,6.529,18.315,6.963,22.422,5.564,6.267,9.804,17.212,13.557,6.701,10.097,14.823,8.657,5.016,6.915,5.923,4.554,26.230,11.323,8.154,7.846,4.694,3.948,4.327,4.791
10/2026,9.101,6.394,7.238,9.196,8.136,10.501,23.561,7.181,10.542,6.185,4.932,10.407,8.839,16.914,15.163,30.539,14.676,7.121,5.771,9.921,8.597,4.168,16.493,20.513,9.002,7.516,5.794,4.933,4.167,4.847
11/2026,5.761,4.982,4.929,6.748,6.165,6.626,10.091,6.375,6.093,4.781,4.317,6.265,5.443,9.347,10.485,12.746,7.504,6.168,5.126,7.343,6.288,3.676,8.375,9.569,6.671,4.931,4.501,4.511,3.733,5.267
12/2026,4.738,4.393,4.244,4.724,5.193,4.991,6.157,5.398,4.963,3.995,3.706,4.852,4.656,6.004,6.165,7.279,5.743,4.939,3.934,4.820,4.895,3.598,5.818,6.199,5.403,4.113,4.042,3.672,3.559,4.342
1/2027,4.148,3.926,3.907,4.022,4.268,4.093,4.925,4.246,4.539,3.641,3.373,4.128,4.011,5.110,4.817,5.417,4.678,3.971,3.426,3.922,4.538,3.288,4.905,5.211,4.564,3.736,3.591,3.264,3.314,3.530
2/2027,3.686,3.246,3.232,4.592,4.623,3.337,3.962,3.746,4.136,2.985,2.934,3.906,3.416,4.293,3.862,5.230,3.669,3.507,2.821,3.206,3.430,2.888,4.789,6.180,5.166,3.755,3.376,2.701,2.843,3.365
3/2027,5.304,5.293,6.677,9.197,5.428,11.965,6.380,6.396,5.283,6.007,3.979,5.759,11.269,7.755,5.073,15.912,4.609,6.359,3.226,5.037,7.177,4.217,7.365,11.307,7.776,10.414,4.038,3.409,4.210,3.537
4/2027,31.138,15.890,23.388,15.895,15.104,24.044,12.670,13.602,24.573,27.031,14.205,16.336,35.899,27.912,22.500,25.115,12.984,14.473,12.118,13.288,30.307,8.746,20.915,17.188,17.526,24.295,11.571,18.544,11.175,7.726
5/2027,80.335,88.570,69.557,52.221,62.346,91.019,61.378,61.026,62.844,106.140,25.204,60.111,82.300,111.021,62.741,76.404,75.160,89.870,45.761,49.789,60.779,39.449,63.323,47.258,51.903,59.629,33.298,59.142,57.071,46.947
6/2027,46.340,105.762,64.495,121.332,31.356,118.335,54.922,101.396,29.019,64.448,10.822,42.941,46.121,108.107,32.704,58.358,98.203,47.499,61.347,93.165,27.969,30.972,74.584,91.955,76.346,76.422,11.196,125.534,36.519,74.509
7/2027,18.833,36.005,14.732,81.708,12.262,33.813,24.911,72.626,8.768,19.158,5.182,11.972,15.509,37.696,14.314,18.700,32.023,15.501,15.023,29.837,11.580,10.949,17.658,23.557,15.998,18.727,5.119,52.158,10.833,26.710
8/2027,16.244,16.563,9.097,23.499,7.484,24.014,12.540,44.521,7.087,21.518,4.390,9.779,7.450,19.857,11.350,28.753,13.803,6.882,11.842,11.719,6.992,10.004,12.112,11.275,12.609,10.995,3.927,12.399,6.760,11.998
9/2027,12.683,17.523,14.276,13.888,7.614,24.946,10.207,27.236,6.697,9.571,8.810,20.085,17.251,12.084,11.953,17.738,13.193,6.506,8.928,8.365,5.588,28.008,14.626,8.929,10.106,6.667,3.328,6.945,5.577,26.619
10/2027,7.585,10.129,11.060,11.881,11.789,27.613,9.535,12.178,7.124,7.020,9.353,9.837,19.948,20.508,33.295,16.258,9.876,7.066,11.804,10.698,4.894,16.818,23.796,9.375,9.197,7.613,4.149,5.994,5.460,10.359
