segdesc   = YDLC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2026,155.937,176.759,154.481,145.513,342.215,146.236,175.046,146.997,191.501,174.374,157.003,113.996,194.020,153.735,183.333,162.667,160.015,186.466,164.990,197.743,181.849,139.602,147.230,159.985,209.885,227.212,149.656,158.257,138.594,155.163
6/2026,52.591,52.256,79.727,21.381,229.666,47.138,93.281,93.942,95.704,49.640,32.024,33.801,78.663,34.037,122.438,31.403,32.068,83.019,63.956,129.200,88.098,21.521,35.692,61.505,105.910,67.535,54.495,18.242,140.538,36.479
7/2026,2.843,3.414,4.995,2.434,37.046,2.710,4.362,12.456,5.180,2.607,2.443,2.460,2.926,3.074,7.434,2.497,2.465,4.620,4.423,8.851,6.474,2.421,2.500,2.880,9.093,3.796,2.772,2.427,34.275,2.466
8/2026,2.803,3.479,3.004,2.800,7.790,2.723,9.441,5.927,3.274,2.619,2.996,2.652,2.754,2.747,3.218,2.728,2.658,3.192,3.235,3.891,3.277,2.707,2.682,9.190,4.108,3.016,2.702,2.602,7.260,2.649
9/2026,4.633,3.328,4.266,2.815,6.539,3.485,39.031,3.479,4.023,7.045,3.149,2.892,5.450,7.643,3.458,10.606,6.391,4.665,2.983,3.589,7.585,2.429,10.694,15.567,3.977,3.177,3.018,2.329,4.713,2.560
10/2026,9.716,9.500,23.992,12.972,30.268,13.486,61.928,25.797,11.056,26.578,11.355,16.584,11.218,27.091,20.198,35.264,34.501,11.256,19.021,15.150,18.525,9.430,35.892,23.228,10.693,12.079,27.619,17.389,12.680,16.144
11/2026,17.324,16.422,22.593,18.397,29.382,34.900,29.954,25.104,15.392,18.231,17.498,16.363,17.806,34.401,21.863,33.093,28.303,18.002,22.290,36.176,21.880,16.388,32.078,22.967,18.700,16.855,22.114,20.099,19.795,26.701
12/2026,15.564,15.892,16.454,15.469,31.094,33.347,20.395,27.301,15.438,15.910,15.257,16.354,19.742,19.327,17.539,22.407,17.604,17.712,16.872,24.685,17.925,16.243,20.520,21.482,19.006,16.104,21.382,15.427,21.185,20.626
1/2027,14.766,15.686,15.133,17.203,22.769,23.369,19.070,19.381,18.715,14.729,14.136,15.474,16.969,23.131,20.365,17.903,16.015,16.838,15.068,22.014,18.448,14.639,17.351,19.094,17.707,15.593,18.851,14.416,18.006,16.860
2/2027,14.375,13.460,13.659,25.682,26.811,17.963,19.663,20.490,26.710,13.311,12.330,23.852,15.159,25.566,15.752,20.661,14.043,19.356,12.986,17.961,16.356,13.643,18.385,38.086,19.617,34.749,23.140,14.141,15.597,16.157
3/2027,54.527,39.619,56.660,80.432,55.838,65.009,59.041,64.659,50.156,39.198,22.066,51.218,87.244,43.409,35.556,105.196,21.368,74.736,24.683,48.196,62.080,34.288,57.411,71.853,59.684,126.787,45.451,25.275,50.374,35.642
4/2027,153.457,191.032,184.455,114.178,296.161,221.129,220.383,182.701,178.666,164.819,113.597,217.434,227.159,182.032,277.960,187.008,90.519,224.278,157.349,314.635,188.045,104.194,223.856,129.343,251.175,187.985,121.046,198.499,172.770,120.476
5/2027,333.024,673.190,393.502,651.730,728.426,843.610,609.640,553.247,492.983,420.948,177.609,575.678,402.834,538.877,623.813,397.741,592.689,661.227,378.718,818.613,204.260,335.827,552.231,333.864,631.388,443.207,351.073,453.232,502.588,401.018
6/2027,125.637,658.320,168.309,798.287,563.633,778.363,419.891,495.441,265.356,199.314,109.807,422.591,175.342,429.879,335.483,134.619,679.239,483.296,524.236,1069.888,39.606,248.194,521.598,237.740,449.568,345.555,133.984,577.938,341.620,341.434
7/2027,15.663,170.175,19.231,288.364,111.516,144.430,144.696,100.919,24.820,20.559,4.032,63.162,23.625,77.754,45.953,10.918,185.075,137.705,97.562,485.128,3.118,31.455,103.676,32.056,73.225,55.832,8.734,223.358,42.813,57.143
8/2027,5.844,29.161,5.688,46.219,20.738,38.714,29.677,20.116,6.329,7.716,2.779,12.747,6.415,12.556,13.316,4.914,28.079,24.723,17.377,72.562,2.721,8.698,35.157,7.556,16.823,11.559,3.529,32.753,9.707,12.033
9/2027,6.232,19.287,6.222,20.612,16.139,82.943,13.671,14.287,14.708,8.122,3.992,15.063,15.206,8.418,23.889,12.591,19.378,13.988,9.529,34.515,3.063,20.891,33.113,6.746,11.800,9.466,4.544,16.297,9.818,12.366
10/2027,11.366,39.071,16.968,41.871,24.612,96.719,38.809,18.710,32.791,16.214,16.833,17.841,33.598,26.349,47.465,41.257,22.028,32.039,20.958,37.769,9.205,44.428,34.590,11.954,21.187,37.712,19.889,21.503,25.053,15.443
11/2027,18.119,33.069,21.723,37.916,49.297,47.139,34.218,22.257,22.532,22.227,16.345,23.991,40.094,26.158,42.670,32.924,27.840,33.120,42.495,39.480,16.176,37.618,33.275,19.832,24.758,29.081,22.040,27.850,34.802,22.206
12/2027,17.503,25.899,18.442,38.991,44.095,31.909,36.529,22.127,19.973,19.340,16.317,25.715,23.121,21.229,29.192,20.939,26.860,25.958,29.132,32.527,15.948,24.659,29.708,20.084,23.704,27.950,17.119,28.901,27.385,20.132
1/2028,17.201,24.018,20.052,29.222,32.439,29.703,26.783,25.262,18.551,17.970,15.441,22.444,26.967,23.983,23.931,19.265,25.516,23.580,25.984,32.580,14.346,21.148,26.211,18.715,22.820,24.748,16.006,24.984,22.940,19.121
2/2028,15.259,22.165,30.338,34.846,26.352,30.776,28.342,34.141,17.354,16.192,24.518,20.900,30.139,19.428,27.576,17.450,28.839,20.950,22.173,29.154,13.838,23.120,49.376,21.538,45.112,29.438,16.104,22.204,22.514,19.084
3/2028,45.845,74.616,85.799,64.923,84.232,83.088,82.934,59.928,46.333,26.933,52.283,102.817,49.717,40.881,134.408,25.324,92.411,34.531,54.933,94.400,35.247,64.693,97.560,61.256,153.747,54.335,28.673,60.766,43.167,65.074
4/2028,205.402,249.306,125.898,337.587,271.905,287.301,233.766,207.663,193.642,128.972,232.701,263.402,212.093,321.745,235.695,96.691,285.133,204.283,352.098,265.024,108.853,253.556,172.771,254.480,220.461,148.460,214.270,201.101,140.058,184.891
5/2028,716.800,458.853,716.838,798.491,962.340,695.260,629.453,541.983,457.532,205.637,609.535,441.233,582.377,672.437,429.515,627.011,767.292,465.513,903.661,247.235,348.388,627.935,381.257,642.479,494.555,390.071,482.468,566.301,468.278,369.829
6/2028,649.853,172.699,809.319,577.742,789.421,429.056,497.161,272.022,197.162,112.183,398.110,182.531,432.776,330.580,135.416,696.470,491.780,532.798,1091.742,49.004,241.757,505.946,241.417,452.728,348.630,133.498,592.354,354.399,348.357,122.364
7/2028,160.759,21.994,278.795,115.918,138.624,142.456,97.933,27.547,21.115,4.179,59.822,27.314,73.823,45.049,12.161,188.161,134.561,96.011,466.745,3.321,29.745,99.497,33.801,73.783,56.100,9.187,211.029,46.089,56.668,17.352
8/2028,28.989,9.249,44.595,23.090,40.773,32.106,22.259,8.306,9.045,3.004,12.717,8.784,13.665,14.424,7.028,29.014,26.626,20.819,69.789,6.195,8.522,37.642,9.801,17.365,14.338,4.922,31.686,12.034,13.800,7.759
9/2028,19.867,9.607,21.093,17.568,88.307,16.956,17.206,17.072,9.347,5.249,15.309,17.635,9.654,26.315,15.601,20.356,16.556,12.722,35.332,7.666,21.677,32.920,8.881,12.272,12.385,6.077,16.733,12.013,14.653,7.755
10/2028,40.146,21.331,42.573,26.297,96.535,42.956,21.127,35.629,17.775,19.040,18.043,36.074,27.855,47.932,43.995,22.997,35.062,25.453,38.733,15.957,44.587,35.868,14.936,21.739,41.262,22.926,22.388,27.821,18.042,13.410
11/2028,32.787,24.964,38.690,51.333,47.727,37.159,24.470,24.720,23.301,17.964,24.256,42.267,26.835,43.137,34.051,28.589,34.960,45.296,39.761,22.288,36.476,33.764,22.231,25.102,31.885,23.856,28.282,37.092,24.140,19.828
12/2028,26.171,21.631,38.855,45.940,33.209,39.281,24.216,22.052,20.324,17.887,25.603,24.888,22.072,29.512,22.601,27.517,27.845,32.071,32.992,21.905,24.179,30.536,22.301,23.961,29.761,19.109,29.042,29.482,21.966,19.006
1/2029,24.280,23.404,29.448,34.034,31.064,29.278,27.844,20.504,18.929,17.139,22.426,28.854,24.806,24.558,20.885,26.133,25.445,28.502,33.178,19.930,20.962,27.276,20.854,23.058,27.073,17.913,25.258,24.837,20.907,18.680
2/2029,21.651,32.905,34.205,26.798,31.070,29.762,35.305,18.323,16.475,25.190,20.288,30.692,19.518,27.407,18.303,27.674,21.859,23.810,28.665,18.157,22.234,49.160,22.874,43.481,30.961,17.246,21.746,23.211,20.047,16.024
3/2029,74.811,92.704,65.374,83.797,84.647,87.849,63.373,46.967,28.005,54.632,102.645,51.005,41.919,135.593,27.010,92.900,36.485,59.024,94.966,40.449,64.020,98.691,64.730,150.210,57.951,30.719,61.218,44.787,68.260,47.891
4/2029,248.803,133.947,337.307,262.022,288.511,241.819,213.399,188.126,131.772,238.411,263.146,209.165,324.659,237.225,100.860,270.224,208.809,364.812,264.508,116.417,250.802,173.551,264.167,219.411,153.756,220.783,201.880,143.063,189.581,210.166
5/2029,459.056,731.842,797.325,952.217,697.232,635.009,545.350,462.457,207.432,616.232,441.098,576.791,673.603,430.435,636.200,758.975,469.192,915.346,247.475,358.557,625.931,382.479,651.858,484.280,392.437,489.475,565.782,457.912,372.502,725.434
6/2029,172.737,813.990,577.614,805.832,429.840,498.642,273.380,206.706,112.693,399.823,182.457,440.431,331.013,135.427,700.127,502.954,534.141,1094.115,49.181,255.318,505.137,241.738,454.863,355.077,134.539,595.256,354.230,359.128,123.333,651.912
7/2029,21.716,279.775,115.490,148.480,142.391,98.230,27.982,23.058,4.229,59.745,26.935,80.460,44.849,11.987,188.188,141.304,96.319,467.142,3.308,33.999,98.800,33.765,73.858,59.212,9.552,211.463,45.700,60.896,17.789,160.507
8/2029,9.190,45.115,22.938,41.973,32.325,22.963,9.012,9.751,3.097,12.836,8.603,14.521,14.509,7.010,29.147,27.527,21.492,70.201,6.313,10.810,37.313,9.968,17.565,14.585,5.515,32.078,11.903,14.519,8.383,28.912
9/2029,9.613,21.613,17.524,86.257,17.380,18.013,17.909,9.929,5.546,15.520,17.519,10.022,26.490,15.733,20.537,16.677,13.391,35.750,7.842,23.435,32.665,9.080,12.569,12.159,6.716,17.168,11.990,15.327,8.363,19.952
10/2029,21.285,43.151,26.226,99.689,43.250,21.856,36.421,18.357,19.391,18.148,35.902,28.096,48.055,44.131,23.142,34.683,26.126,39.087,16.073,47.370,35.593,15.116,21.945,41.029,24.025,22.872,27.730,18.381,14.021,40.197
11/2029,25.054,39.382,51.397,49.309,37.643,25.247,25.521,24.145,18.392,24.542,42.255,27.688,43.364,34.278,28.849,35.461,46.075,40.219,22.523,40.100,33.671,22.579,25.418,31.783,24.935,28.814,37.156,25.000,20.595,32.944
12/2029,21.763,39.619,46.075,33.928,39.809,25.044,22.831,21.187,18.364,25.925,24.932,22.685,29.768,22.885,27.824,28.185,32.869,33.494,22.196,26.849,30.476,22.694,24.339,30.495,20.190,29.628,29.586,22.785,19.780,26.357
1/2030,23.530,30.106,34.154,31.604,29.734,28.673,21.238,19.716,17.590,22.722,28.899,25.439,24.791,21.149,26.422,25.667,29.225,33.655,20.203,23.170,27.222,21.220,23.414,27.259,18.946,25.801,24.931,21.632,19.429,24.452
2/2030,33.029,34.877,26.895,31.039,30.166,36.114,18.971,17.095,25.649,20.544,30.731,19.955,27.625,18.533,27.930,22.018,24.417,29.069,18.389,23.700,49.068,23.206,43.895,31.065,18.164,22.207,23.292,20.537,16.663,21.797
3/2030,92.949,66.389,83.967,82.205,88.526,64.653,48.190,27.749,55.449,103.208,51.040,41.619,136.153,27.271,93.455,35.844,59.894,95.641,40.745,67.234,98.545,65.255,151.122,56.964,31.920,61.934,44.890,67.104,49.188,75.061
4/2030,134.162,340.005,262.245,280.947,242.686,215.126,190.256,130.980,240.047,263.918,209.125,318.259,237.650,101.331,271.204,202.117,367.064,265.072,116.782,254.233,173.431,265.280,220.351,145.618,225.117,203.325,143.179,182.079,213.062,249.256
5/2030,732.138,798.351,952.450,691.348,635.624,546.233,463.568,204.406,617.753,441.696,576.772,668.929,430.699,637.525,760.176,447.040,917.368,247.810,358.765,600.621,382.382,652.662,485.165,392.638,491.791,566.979,457.992,371.354,727.913,459.506
6/2030,814.110,578.116,805.914,438.352,499.010,273.868,207.177,118.141,400.245,182.629,440.432,341.790,135.554,700.376,503.224,551.989,1094.814,49.379,255.455,533.897,241.702,455.040,355.324,141.128,596.230,354.596,359.207,131.537,652.674,172.844
7/2030,279.853,115.829,148.534,149.549,98.426,28.368,23.433,4.562,59.862,27.096,80.481,47.510,12.088,188.346,141.412,102.985,467.505,3.385,34.123,105.848,33.737,73.993,59.354,10.578,212.041,45.956,60.933,18.764,160.758,21.765
8/2030,45.166,23.242,42.028,33.840,23.153,9.374,10.146,3.265,12.936,8.742,14.540,14.781,7.095,29.263,27.623,22.070,70.460,6.584,10.944,37.069,9.953,17.703,14.747,5.648,32.458,12.118,14.552,8.778,29.113,9.268
9/2030,21.653,17.786,86.314,17.744,18.220,18.319,10.275,5.718,15.623,17.653,10.042,25.441,15.840,20.652,16.774,13.585,35.983,8.066,23.581,35.305,9.071,12.703,12.301,6.720,17.551,12.213,15.368,8.590,20.162,9.682
10/2030,43.196,26.495,99.741,43.051,22.062,36.856,18.738,19.781,18.246,36.043,28.118,49.012,44.251,23.255,34.774,25.351,39.308,16.309,47.522,36.703,15.091,22.085,41.184,23.681,23.276,27.990,18.422,14.292,40.428,21.358
11/2030,39.426,51.689,49.353,38.061,25.433,25.886,24.491,18.878,24.633,42.397,27.711,44.150,34.381,28.953,35.543,46.906,40.418,22.748,40.231,35.107,22.558,25.544,31.912,25.362,29.191,37.393,25.040,20.906,33.146,25.119
12/2030,39.663,46.366,33.970,40.604,25.224,23.182,21.523,18.845,26.014,25.060,22.708,30.440,22.984,27.926,28.264,33.143,33.689,22.414,26.974,31.546,22.673,24.463,30.616,20.286,29.999,29.815,22.824,20.186,26.548,21.826
1/2031,30.145,34.408,31.643,30.104,28.848,21.569,20.035,17.833,22.802,29.028,25.461,25.054,21.242,26.519,25.740,29.590,33.841,20.409,23.286,27.895,21.200,23.530,27.375,19.010,26.147,25.143,21.668,19.767,24.632,23.590
2/2031,34.915,27.104,31.073,30.171,36.277,19.259,17.370,26.195,20.615,30.845,19.974,27.454,18.613,28.016,22.081,24.405,29.226,18.566,23.806,49.947,23.187,44.018,31.172,18.157,22.503,23.478,20.570,16.921,21.952,33.087
3/2031,66.443,84.370,82.257,86.871,64.850,48.609,28.150,54.996,103.394,51.187,41.640,132.941,27.361,93.640,35.919,58.930,95.854,40.972,67.390,95.939,65.216,151.344,57.104,30.204,62.449,45.125,67.153,45.078,75.321,93.037
4/2031,340.104,262.910,281.015,227.974,215.366,191.354,131.720,228.459,264.126,209.350,318.243,230.876,101.496,271.680,202.285,356.152,265.243,117.069,254.399,172.878,265.129,220.541,145.798,216.129,204.703,143.563,182.125,204.340,249.548,134.259
