Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Unit
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2026 23:59:00,19807,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2026 23:59:00,22314,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2026 23:59:00,25614,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2026 23:59:00,24601,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2026 23:59:00,17101,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,10-31-2026 23:59:00,17223,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,11-30-2026 23:59:00,10306,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,12-31-2026 23:59:00,7486,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,01-31-2027 23:59:00,9984,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,02-28-2027 23:59:00,8964,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,03-31-2027 23:59:00,13565,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2027 23:59:00,17835,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2027 23:59:00,22501,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2027 23:59:00,24609,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2027 23:59:00,27867,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2027 23:59:00,27119,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2027 23:59:00,20175,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,10-31-2027 23:59:00,20436,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,11-30-2027 23:59:00,14085,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,12-31-2027 23:59:00,11616,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,01-31-2028 23:59:00,13009,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,02-29-2028 23:59:00,11681,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,03-31-2028 23:59:00,17676,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2028 23:59:00,23239,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2028 23:59:00,29320,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2028 23:59:00,32066,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2028 23:59:00,36311,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2028 23:59:00,35337,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2028 23:59:00,26289,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,10-31-2028 23:59:00,26629,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,11-30-2028 23:59:00,18354,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,12-31-2028 23:59:00,15137,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,01-31-2029 23:59:00,8694,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,02-28-2029 23:59:00,7806,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,03-31-2029 23:59:00,11812,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2029 23:59:00,15530,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2029 23:59:00,19594,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2029 23:59:00,21429,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2029 23:59:00,24266,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2029 23:59:00,23615,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2029 23:59:00,17568,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,10-31-2029 23:59:00,17796,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,11-30-2029 23:59:00,12265,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,12-31-2029 23:59:00,10115,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,01-31-2030 23:59:00,8694,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,02-28-2030 23:59:00,7806,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,03-31-2030 23:59:00,11812,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2030 23:59:00,15530,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2030 23:59:00,19594,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2030 23:59:00,21429,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2030 23:59:00,24266,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2030 23:59:00,23615,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2030 23:59:00,17568,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,10-31-2030 23:59:00,17796,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,11-30-2030 23:59:00,12265,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,12-31-2030 23:59:00,10115,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,01-31-2031 23:59:00,8694,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,02-28-2031 23:59:00,7806,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,03-31-2031 23:59:00,11812,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2031 23:59:00,15530,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2031 23:59:00,19594,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2031 23:59:00,21429,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2031 23:59:00,24266,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2031 23:59:00,23615,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2031 23:59:00,17568,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2026 23:59:00,85000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2026 23:59:00,96000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2026 23:59:00,96000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2026 23:59:00,95349,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2026 23:59:00,100280,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2027 23:59:00,81258,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-28-2027 23:59:00,221,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2027 23:59:00,81258,acre-ft/month
