"commodity","item","futures_exchange","commodity_class","data_period","marketing_year","calendar_year_month","futures_contract","data_source_date","value","unit"
"Corn","Basis","CBOT","NA","Monthly","1997","1997-09","1997-12","1998-11-30","     -0.145625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1997-10","1997-12","1998-11-30","     -0.251500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1997-11","1997-12","1998-11-30","     -0.241875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1997-12","1998-03","1998-11-30","     -0.205625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-01","1998-03","1998-11-30","     -0.144500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-02","1998-03","1998-11-30","     -0.132500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-03","1998-05","1998-11-30","     -0.169375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-04","1998-05","1998-11-30","     -0.086500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-05","1998-07","1998-11-30","     -0.142500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-06","1998-07","1998-11-30","     -0.148750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-07","1998-09","1998-11-30","     -0.141500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1997","1998-08","1998-09","1998-11-30","     -0.161875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1998-09","1998-12","1999-11-30","     -0.251250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1998-10","1998-12","1999-11-30","     -0.268500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1998-11","1998-12","1999-11-30","     -0.266875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1998-12","1999-03","1999-11-30","     -0.204000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-01","1999-03","1999-11-30","     -0.108125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-02","1999-03","1999-11-30","     -0.087500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-03","1999-05","1999-11-30","     -0.178750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-04","1999-05","1999-11-30","     -0.142000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-05","1999-07","1999-11-30","     -0.208750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-06","1999-07","1999-11-30","     -0.218125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-07","1999-09","1999-11-30","     -0.252000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1998","1999-08","1999-09","1999-11-30","     -0.375625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","1999-09","1999-12","2000-11-30","     -0.390500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","1999-10","1999-12","2000-11-30","     -0.319375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","1999-11","1999-12","2000-11-30","     -0.256875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","1999-12","2000-03","2000-11-30","     -0.197000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-01","2000-03","2000-11-30","     -0.267500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-02","2000-03","2000-11-30","     -0.222500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-03","2000-05","2000-04-28","     -0.270000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-04","2000-05","2000-04-28","     -0.256250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-04","2000-05","2000-05-31","     -0.236250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-05","2000-07","2000-05-31","     -0.348750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-05","2000-07","2000-06-29","     -0.308750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-05","2000-07","2000-11-30","     -0.298750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-06","2000-07","2000-06-29","     -0.285500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-06","2000-07","2000-07-31","     -0.185500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-07","2000-09","2000-07-31","     -0.303750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-07","2000-09","2000-08-31","     -0.213750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-08","2000-09","2000-08-31","     -0.311000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-08","2000-09","2000-09-28","     -0.261000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","1999","2000-08","2000-09","2000-11-30","     -0.271000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-09","2000-12","2000-09-28","     -0.373750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-09","2000-12","2000-10-31","     -0.313750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-10","2000-12","2000-10-31","     -0.311250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-11","2000-12","2000-11-30","     -0.277000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-11","2000-12","2000-12-29","     -0.247000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-12","2001-03","2000-12-29","     -0.314375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2000-12","2001-03","2001-01-31","     -0.254375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-01","2001-03","2001-01-31","     -0.250000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-01","2001-03","2001-02-28","     -0.230000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-02","2001-03","2001-02-28","     -0.186875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-02","2001-03","2001-03-29","     -0.146875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-03","2001-05","2001-03-29","     -0.225000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-03","2001-05","2001-04-30","     -0.185000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-03","2001-05","2001-11-30","     -0.175000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-04","2001-05","2001-04-30","     -0.160625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-04","2001-05","2001-05-31","     -0.180625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-05","2001-07","2001-05-31","     -0.207500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-05","2001-07","2001-06-28","     -0.167500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-06","2001-07","2001-06-28","     -0.166875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-06","2001-07","2001-07-31","     -0.156875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-07","2001-09","2001-07-31","     -0.306875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-07","2001-09","2001-11-30","     -0.316875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-08","2001-09","2001-08-31","     -0.241500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2000","2001-08","2001-09","2001-09-27","     -0.271500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-09","2001-12","2001-09-27","     -0.306250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-09","2001-12","2001-10-31","     -0.316250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-10","2001-12","2001-10-31","     -0.301250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-10","2001-12","2001-11-30","     -0.251250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-11","2001-12","2001-11-30","     -0.192500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-12","2002-03","2001-12-31","     -0.216875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2001","2001-12","2002-03","2002-01-31","     -0.156875","U.S. dollars per bushel"
