"model_forecast_date","commodity","futures_model_type","futures_exchange","marketing_year","MYA_price_model_forecast","MYA_price_WASDE_forecast","WASDE_forecast_date","target_price","national_loan_rate","direct_payment_rate","reference_price","CCP_effective_price_model_forecast","CCP_rate_model_forecast","CCP_effective_price_WASDE_forecast","CCP_rate_WASDE_forecast","historical_MYA_price_year1","historical_MYA_price_year2","historical_MYA_price_year3","historical_MYA_price_year4","historical_MYA_price_year5","historical_MYA_5year_range","historical_MYA_price_5year_Olympic_average","effective_reference_price","effective_price_model_forecast","PLC_payment_rate_model_forecast","effective_price_WASDE_forecast","PLC_payment_rate_WASDE_forecast","maximum_PLC_payment_rate","ARC_annual_benchmark_price_year1","ARC_annual_benchmark_price_year2","ARC_annual_benchmark_price_year3","ARC_annual_benchmark_price_year4","ARC_annual_benchmark_price_year5","ARC_annual_benchmark_price_5year_range","ARC_CO_benchmark_price","ARC_CO_price_model_forecast","ARC_CO_price_WASDE_forecast","ARC_IC_price_model_forecast","ARC_IC_price_WASDE_forecast","actual_MYA_price","price_unit"
2003-05-01,"Corn","Single contract","CBOT",2002,2.275593,2.3,"4/10/2003",2.6,1.98,0.28,NA,2.555593,0.044407,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-05-01,"Corn","Single contract","CBOT",2003,2.180049,NA,NA,2.6,1.98,0.28,NA,2.460049,0.139951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-05-01,"Soybeans","Single contract","CBOT",2002,5.560537,5.45,"4/10/2003",5.8,5,0.44,NA,6.000537,0,5.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-05-01,"Wheat","Single contract","CBOT",2002,3.581534,3.6,"4/10/2003",3.86,2.8,0.52,NA,4.101534,0,4.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-05-01,"Wheat","Single contract","CBOT",2003,2.922394,NA,NA,3.86,2.8,0.52,NA,3.442394,0.417606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-05-08,"Corn","Single contract","CBOT",2002,2.3022,2.3,"4/10/2003",2.6,1.98,0.28,NA,2.5822,0.0178,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-05-08,"Corn","Single contract","CBOT",2003,2.255995,NA,NA,2.6,1.98,0.28,NA,2.535995,0.064005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-05-08,"Soybeans","Single contract","CBOT",2002,5.54323,5.45,"4/10/2003",5.8,5,0.44,NA,5.98323,0,5.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-05-08,"Wheat","Single contract","CBOT",2002,3.591073,3.6,"4/10/2003",3.86,2.8,0.52,NA,4.111073,0,4.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-05-08,"Wheat","Single contract","CBOT",2003,3.069501,NA,NA,3.86,2.8,0.52,NA,3.589501,0.270499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-05-15,"Corn","Single contract","CBOT",2002,2.334811,2.3,"5/12/2003",2.6,1.98,0.28,NA,2.614811,0,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-05-15,"Corn","Single contract","CBOT",2003,2.329003,2.1,"5/12/2003",2.6,1.98,0.28,NA,2.609003,0,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-05-15,"Soybeans","Single contract","CBOT",2002,5.596337,5.5,"5/12/2003",5.8,5,0.44,NA,6.036337,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-05-15,"Soybeans","Single contract","CBOT",2003,5.499683,4.95,"5/12/2003",5.8,5,0.44,NA,5.939683,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-05-15,"Wheat","Single contract","CBOT",2002,3.608972,3.56,"5/12/2003",3.86,2.8,0.52,NA,4.128972,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-05-15,"Wheat","Single contract","CBOT",2003,3.44058,3.35,"5/12/2003",3.86,2.8,0.52,NA,3.96058,0,3.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-05-22,"Corn","Single contract","CBOT",2002,2.306318,2.3,"5/12/2003",2.6,1.98,0.28,NA,2.586318,0.013682,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-05-22,"Corn","Single contract","CBOT",2003,2.258509,2.1,"5/12/2003",2.6,1.98,0.28,NA,2.538509,0.061491,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-05-22,"Soybeans","Single contract","CBOT",2002,5.559343,5.5,"5/12/2003",5.8,5,0.44,NA,5.999343,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-05-22,"Soybeans","Single contract","CBOT",2003,5.503681,4.95,"5/12/2003",5.8,5,0.44,NA,5.943681,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-05-22,"Wheat","Single contract","CBOT",2002,3.60546,3.56,"5/12/2003",3.86,2.8,0.52,NA,4.12546,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-05-22,"Wheat","Single contract","CBOT",2003,3.323278,3.35,"5/12/2003",3.86,2.8,0.52,NA,3.843278,0.016722,3.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-05-29,"Corn","Single contract","CBOT",2002,2.309262,2.3,"5/12/2003",2.6,1.98,0.28,NA,2.589262,0.010738,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-05-29,"Corn","Single contract","CBOT",2003,2.268503,2.1,"5/12/2003",2.6,1.98,0.28,NA,2.548503,0.051497,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-05-29,"Soybeans","Single contract","CBOT",2002,5.561972,5.5,"5/12/2003",5.8,5,0.44,NA,6.001972,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-05-29,"Soybeans","Single contract","CBOT",2003,5.461233,4.95,"5/12/2003",5.8,5,0.44,NA,5.901233,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-05-29,"Wheat","Single contract","CBOT",2002,3.605063,3.56,"5/12/2003",3.86,2.8,0.52,NA,4.125063,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-05-29,"Wheat","Single contract","CBOT",2003,3.314758,3.35,"5/12/2003",3.86,2.8,0.52,NA,3.834758,0.025242,3.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-06-05,"Corn","Single contract","CBOT",2002,2.298071,2.3,"5/12/2003",2.6,1.98,0.28,NA,2.578071,0.021929,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-06-05,"Corn","Single contract","CBOT",2003,2.201198,2.1,"5/12/2003",2.6,1.98,0.28,NA,2.481198,0.118802,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-06-05,"Soybeans","Single contract","CBOT",2002,5.548415,5.5,"5/12/2003",5.8,5,0.44,NA,5.988415,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-06-05,"Soybeans","Single contract","CBOT",2003,5.451616,4.95,"5/12/2003",5.8,5,0.44,NA,5.891616,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-06-05,"Wheat","Single contract","CBOT",2002,3.614312,3.56,"5/12/2003",3.86,2.8,0.52,NA,4.134312,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-06-05,"Wheat","Single contract","CBOT",2003,3.297755,3.35,"5/12/2003",3.86,2.8,0.52,NA,3.817755,0.042245,3.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-06-12,"Corn","Single contract","CBOT",2002,2.321745,2.3,"6/11/2003",2.6,1.98,0.28,NA,2.601745,0,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-06-12,"Corn","Single contract","CBOT",2003,2.282152,2.1,"6/11/2003",2.6,1.98,0.28,NA,2.562152,0.037848,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-06-12,"Soybeans","Single contract","CBOT",2002,5.563496,5.5,"6/11/2003",5.8,5,0.44,NA,6.003496,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-06-12,"Soybeans","Single contract","CBOT",2003,5.576427,4.95,"6/11/2003",5.8,5,0.44,NA,6.016427,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-06-12,"Wheat","Single contract","CBOT",2002,3.614312,3.56,"6/11/2003",3.86,2.8,0.52,NA,4.134312,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-06-12,"Wheat","Single contract","CBOT",2003,3.43685,3.2,"6/11/2003",3.86,2.8,0.52,NA,3.95685,0,3.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-06-19,"Corn","Single contract","CBOT",2002,2.313961,2.3,"6/11/2003",2.6,1.98,0.28,NA,2.593961,0.006039,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-06-19,"Corn","Single contract","CBOT",2003,2.24167,2.1,"6/11/2003",2.6,1.98,0.28,NA,2.52167,0.07833,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-06-19,"Soybeans","Single contract","CBOT",2002,5.570359,5.5,"6/11/2003",5.8,5,0.44,NA,6.010359,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-06-19,"Soybeans","Single contract","CBOT",2003,5.532253,4.95,"6/11/2003",5.8,5,0.44,NA,5.972253,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-06-19,"Wheat","Single contract","CBOT",2002,3.614312,3.56,"6/11/2003",3.86,2.8,0.52,NA,4.134312,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-06-19,"Wheat","Single contract","CBOT",2003,3.258983,3.2,"6/11/2003",3.86,2.8,0.52,NA,3.778983,0.081017,3.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-06-26,"Corn","Single contract","CBOT",2002,2.286611,2.3,"6/11/2003",2.6,1.98,0.28,NA,2.566611,0.033389,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-06-26,"Corn","Single contract","CBOT",2003,2.127159,2.1,"6/11/2003",2.6,1.98,0.28,NA,2.407159,0.192841,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-06-26,"Soybeans","Single contract","CBOT",2002,5.557931,5.5,"6/11/2003",5.8,5,0.44,NA,5.997931,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-06-26,"Soybeans","Single contract","CBOT",2003,5.382753,4.95,"6/11/2003",5.8,5,0.44,NA,5.822753,0,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
