MIXCODE,DIRCODE
5340,1312
5340,1317
5340,1320
5340,1340
5340,2312
5340,2317
5340,2320
5340,2340
5340,3312
5340,3317
5340,3320
5340,3340
5340,4312
5340,4317
5340,4320
5340,4340
5430,1780
5430,2780
5430,3780
5430,4780
5440,1780
5440,2780
5440,3780
5440,4780
5450,1780
5450,2780
5450,3780
5450,4780
5460,1780
5460,2780
5460,3780
5460,4780
5610,1020
5610,1040
5610,1060
5610,1080
5610,1110
5610,1160
5610,1170
5610,1211
5610,1212
5610,1312
5610,1317
5610,1320
5610,1340
5610,1510
5610,1780
5610,1910
5620,2060
5620,2080
5620,2160
5620,2170
5620,2211
5620,2212
5620,2312
5620,2317
5620,2320
5620,2340
5620,2360
5620,2405
5620,2420
5620,2460
5620,2475
5620,2480
5620,2493
5620,2510
5620,2780
5620,2910
5650,1020
5650,1040
5650,1060
5650,1080
5650,1110
5650,1160
5650,1170
5650,1211
5650,1212
5650,1312
5650,1317
5650,1320
5650,1340
5650,1510
5650,1780
5650,1910
5650,2060
5650,2080
5650,2160
5650,2170
5650,2211
5650,2212
5650,2312
5650,2317
5650,2320
5650,2340
5650,2360
5650,2405
5650,2420
5650,2460
5650,2475
5650,2480
5650,2493
5650,2510
5650,2780
5650,2910
5700,3060
5700,3080
5700,3160
5700,3170
5700,3211
5700,3212
5700,3312
5700,3317
5700,3320
5700,3340
5700,3360
5700,3405
5700,3420
5700,3460
5700,3475
5700,3480
5700,3493
5700,3510
5700,3780
5700,3910
5700,4060
5700,4080
5700,4160
5700,4170
5700,4211
5700,4212
5700,4312
5700,4317
5700,4320
5700,4340
5700,4360
5700,4405
5700,4420
5700,4460
5700,4475
5700,4480
5700,4493
5700,4510
5700,4780
5700,4910
5750,1020
5750,1040
5750,1060
5750,1080
5750,1110
5750,1160
5750,1170
5750,1211
5750,1212
5750,1312
5750,1317
5750,1320
5750,1340
5750,1510
5750,1780
5750,1910
5750,2060
5750,2080
5750,2110
5750,2160
5750,2170
5750,2211
5750,2212
5750,2312
5750,2317
5750,2320
5750,2340
5750,2360
5750,2405
5750,2420
5750,2460
5750,2475
5750,2480
5750,2493
5750,2510
5750,2780
5750,2910
5750,3060
5750,3080
5750,3110
5750,3160
5750,3170
5750,3211
5750,3212
5750,3312
5750,3317
5750,3320
5750,3340
5750,3360
5750,3405
5750,3420
5750,3460
5750,3475
5750,3480
5750,3493
5750,3510
5750,3780
5750,3910
5750,4060
5750,4080
5750,4110
5750,4160
5750,4170
5750,4211
5750,4212
5750,4312
5750,4317
5750,4320
5750,4340
5750,4360
5750,4405
5750,4420
5750,4460
5750,4475
5750,4480
5750,4493
5750,4510
5750,4780
5750,4910
5620,2402
5650,2402
5700,3402
5700,4402
5750,2402
5750,3402
5750,4402
5620,2403
5650,2403
5700,3403
5700,4403
5750,2403
5750,3403
5750,4403
